u_id,model,true_country,pred_country_orig,correct_orig,category_primary,category_name,category_score,pred_k10,changed_k10,pred_k20,changed_k20,pred_k30,changed_k30
1309b373-b885-4aa0-b6f8-7aab4b734ac2,internvl2,China,China,True,B,Clothing / Dress,0.573587,China,False,China,False,China,False
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,internvl2,China,China,True,F,Ritual / Festival,0.591065,China,False,China,False,Ethiopia,True
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,internvl2,China,China,True,F,Ritual / Festival,0.540006,China,False,China,False,China,False
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,internvl2,China,China,True,B,Clothing / Dress,0.49097,China,False,China,False,China,False
1bad08e1-1e74-421f-996f-5c435cb367e3,internvl2,China,China,True,F,Ritual / Festival,0.82297,China,False,China,False,China,False
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,internvl2,China,China,True,D,Food / Objects,0.51162,China,False,China,False,China,False
07dabc78-3e60-46e1-b6e4-14c03b083f61,internvl2,China,Brazil,False,H,Appearance,0.411805,Iran,True,Rwanda,True,Rwanda,True
e8417033-3d23-4eb3-b225-e8d68ff8cde3,internvl2,China,China,True,D,Food / Objects,0.971469,Nigeria,True,Germany,True,Nigeria,True
7469bf5a-e55b-4077-8c23-4f80be8daa32,internvl2,China,Brazil,False,D,Food / Objects,0.852698,Ethiopia,True,Ethiopia,True,Ethiopia,True
803df59c-07e6-4459-a5cb-8c2e27237461,internvl2,China,China,True,D,Food / Objects,0.371883,China,False,China,False,China,False
b2886064-331e-4c71-a625-d9d2c5cd9421,internvl2,China,India,False,H,Appearance,0.533005,Iran,True,Iran,True,Iran,True
f009866e-207b-4ed4-b0d2-150b69a5d0b0,internvl2,China,China,True,C,Architecture,0.980014,China,False,China,False,China,False
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,internvl2,China,China,True,E,Script / Text,0.997072,China,False,China,False,China,False
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,internvl2,China,China,True,D,Food / Objects,0.984139,China,False,Iran,True,Iran,True
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,internvl2,China,China,True,A,National Symbols,0.548006,China,False,China,False,China,False
a8f5c325-4cc4-4371-bd45-5d19156de028,internvl2,China,China,True,D,Food / Objects,0.940822,China,False,China,False,China,False
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,internvl2,China,Brazil,False,F,Ritual / Festival,0.99051,Nigeria,True,Nigeria,True,Canada,True
22bb7d28-bb29-4a85-af25-85f66ce70d52,internvl2,China,India,False,C,Architecture,0.697816,China,True,China,True,China,True
4c169dc1-0511-4867-803b-2c5724589072,internvl2,China,China,True,D,Food / Objects,0.989293,China,False,China,False,China,False
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,internvl2,China,China,True,F,Ritual / Festival,0.720282,China,False,China,False,China,False
aa454b8a-ea44-47d8-bfc5-8e0691affc18,internvl2,China,China,True,C,Architecture,0.948782,China,False,China,False,China,False
c4ba628f-6ccc-4659-88e0-989cf36c6b66,internvl2,Canada,Canada,True,H,Appearance,0.505334,Canada,False,Canada,False,Canada,False
c6e2a507-d64e-4f66-a017-8c4bec7a25aa,internvl2,Canada,Germany,False,D,Food / Objects,0.843457,Ethiopia,True,Nigeria,True,Germany,False
48cb84ac-f6c8-41d5-a8bd-433790fd4228,internvl2,Canada,Brazil,False,D,Food / Objects,0.663482,Rwanda,True,India,True,Ethiopia,True
af32828e-77c5-4c31-ad76-c68b4c3d2cfb,internvl2,Canada,Turkey,False,D,Food / Objects,0.972657,Turkey,False,Turkey,False,Germany,True
96b37654-4373-4743-981d-ef25317c602a,internvl2,Canada,Brazil,False,D,Food / Objects,0.647475,India,True,India,True,Germany,True
a2ebb579-6a95-4ef6-90d3-7472f9739d27,internvl2,Canada,Brazil,False,H,Appearance,0.889801,Iran,True,Iran,True,Iran,True
734acb99-0962-4131-b4f7-725c20411db8,internvl2,Canada,Canada,True,F,Ritual / Festival,0.785465,Canada,False,Ethiopia,True,Canada,False
a914a20e-7219-43e5-929a-a60eeb2b0eba,internvl2,Canada,USA,False,F,Ritual / Festival,0.520552,USA,False,USA,False,USA,False
8869939b-17da-472e-8637-58d80e9291e7,internvl2,Canada,Brazil,False,H,Appearance,0.30653,Iran,True,Iran,True,Iran,True
184d6c08-7237-4f6b-b49d-04b5b2bef635,internvl2,Canada,USA,False,A,National Symbols,0.985855,Canada,True,Canada,True,Canada,True
8a4aa22a-5c51-425d-ad3d-69de43f88b0c,internvl2,Canada,Brazil,False,H,Appearance,0.278275,Brazil,False,Turkey,True,Brazil,False
6c905b2d-0ff6-4c21-b0ef-50861a2cc2b5,internvl2,Canada,USA,False,D,Food / Objects,0.948496,Canada,True,Canada,True,Canada,True
0c62e0fb-0aea-49a7-b333-b15a64c8359f,internvl2,Canada,USA,False,D,Food / Objects,0.984513,Turkey,True,Turkey,True,Turkey,True
7174dc33-dbe6-4c70-a3ef-ae0be8ab6b29,internvl2,Canada,USA,False,D,Food / Objects,0.723053,Iran,True,Germany,True,Iran,True
fdd8ea6d-e848-4b9c-af83-8e1ad010ef1e,internvl2,Canada,Brazil,False,D,Food / Objects,0.867588,Ethiopia,True,Ethiopia,True,Ethiopia,True
b5ddf9ce-952d-4fe5-a878-b1ffe90ff1ef,internvl2,Canada,Brazil,False,C,Architecture,0.995328,Brazil,False,Brazil,False,Brazil,False
4f04c1f6-a284-4219-9412-beacc222f51d,internvl2,Canada,Brazil,False,A,National Symbols,0.856681,Germany,True,Germany,True,Germany,True
fa9d08f1-413b-4a05-b058-380843d46806,internvl2,Canada,USA,False,F,Ritual / Festival,0.579767,Canada,True,Canada,True,Nigeria,True
746e8569-1091-499b-8de8-08bce681dd84,internvl2,Canada,Canada,True,F,Ritual / Festival,0.453756,Canada,False,Canada,False,Canada,False
19ae4ab7-a1b1-47c9-a81d-24a4020df41a,internvl2,Canada,Turkey,False,C,Architecture,0.483472,Rwanda,True,Rwanda,True,Brazil,True
318807ce-d521-41f7-b9b2-e533deb7a178,internvl2,Canada,USA,False,H,Appearance,0.574378,USA,False,USA,False,USA,False
acd68d0e-9d10-40ef-9fd1-cbdc720808ef,internvl2,Canada,Canada,True,A,National Symbols,0.535798,Canada,False,Canada,False,Nigeria,True
591a4da1-0a04-4dc6-ba4e-a3526dbce1c6,internvl2,Canada,Canada,True,G,Natural Landscape,0.330937,Canada,False,Canada,False,Canada,False
bfa7333e-1ab0-4ebc-b11c-d7c0cc5a9e8c,internvl2,Canada,Canada,True,A,National Symbols,0.811499,Canada,False,Canada,False,Canada,False
87161e09-edf6-46a7-acf4-1d2ba9f61348,internvl2,Canada,Canada,True,A,National Symbols,0.398466,Canada,False,Canada,False,Canada,False
31824d6c-cdda-43df-9792-17cb3f44217d,internvl2,Nigeria,Nigeria,True,B,Clothing / Dress,0.877978,Ethiopia,True,Nigeria,False,Nigeria,False
7409a04b-e4e0-48a6-83aa-9ea94eeb78da,internvl2,Nigeria,Brazil,False,G,Natural Landscape,0.415243,Germany,True,Brazil,False,Nigeria,True
a2ccb005-d747-43f8-8315-2518a1ece07d,internvl2,Nigeria,Turkey,False,D,Food / Objects,0.373952,Rwanda,True,Ethiopia,True,Ethiopia,True
bb027c12-2666-421b-a523-4bd7c4c30f20,internvl2,Nigeria,Brazil,False,H,Appearance,0.507357,Brazil,False,Nigeria,True,Brazil,False
4713f5b0-48da-4ab5-99bc-ffe12d7d62fa,internvl2,Nigeria,Nigeria,True,F,Ritual / Festival,0.314595,Rwanda,True,Rwanda,True,Rwanda,True
98b439d0-91bc-40ba-8d77-ec2889c96666,internvl2,Nigeria,Nigeria,True,H,Appearance,0.888921,Nigeria,False,Nigeria,False,Nigeria,False
4457fdf9-a623-41bd-8a0d-fd42128f38b3,internvl2,Nigeria,Nigeria,True,B,Clothing / Dress,0.961234,Nigeria,False,Nigeria,False,Nigeria,False
2c1bd295-9cde-47af-af0e-202c03272d01,internvl2,Nigeria,Brazil,False,B,Clothing / Dress,0.96852,Nigeria,True,Nigeria,True,Nigeria,True
da343301-2fc3-42b9-9d8e-7f90b000f00f,internvl2,Nigeria,Ethiopia,False,D,Food / Objects,0.559483,Rwanda,True,Rwanda,True,Rwanda,True
c717f3a6-7b14-4f61-b395-89d63b0c6e73,internvl2,Nigeria,Nigeria,True,B,Clothing / Dress,0.826969,Nigeria,False,Nigeria,False,Nigeria,False
4b6b43e4-d3c9-4faf-8ed9-ed1e51754baf,internvl2,Nigeria,Brazil,False,G,Natural Landscape,0.336912,Rwanda,True,Rwanda,True,Rwanda,True
6e72fc43-14d2-40a5-863c-62d14dc5facb,internvl2,Nigeria,Nigeria,True,F,Ritual / Festival,0.832235,Nigeria,False,Nigeria,False,Nigeria,False
60c2f1e2-820c-4c10-a873-af1a75d9e4db,internvl2,Nigeria,Nigeria,True,F,Ritual / Festival,0.667271,Nigeria,False,Nigeria,False,Nigeria,False
0ce7d616-31bd-4eac-99ec-195e0172b4fc,internvl2,Nigeria,Nigeria,True,F,Ritual / Festival,0.530333,Rwanda,True,Rwanda,True,Rwanda,True
3a181f33-846c-43f8-8512-5919ce7088bf,internvl2,Nigeria,Iran,False,B,Clothing / Dress,0.69111,India,True,India,True,India,True
67fa11a3-fa1f-4817-a189-87f38daf3011,internvl2,Nigeria,Brazil,False,D,Food / Objects,0.472954,Iran,True,Iran,True,Rwanda,True
6518121e-ba08-4e76-aa33-2c2e00598fdd,internvl2,Nigeria,Nigeria,True,B,Clothing / Dress,0.93312,Nigeria,False,Nigeria,False,Nigeria,False
dc012abe-5e86-41c4-b740-a9e91a0fe240,internvl2,Nigeria,Nigeria,True,H,Appearance,0.723353,Rwanda,True,Rwanda,True,Nigeria,False
3b78bd2d-5f55-4480-8637-ccc22c549402,internvl2,Nigeria,Nigeria,True,H,Appearance,0.980804,Nigeria,False,Nigeria,False,Nigeria,False
9ace2f1e-6a06-45ba-bed9-46ac3b80b038,internvl2,Nigeria,India,False,D,Food / Objects,0.816348,Rwanda,True,Rwanda,True,Rwanda,True
ecd4f0c8-0bb6-4a35-ac36-66588d7d4185,internvl2,Nigeria,Brazil,False,H,Appearance,0.57723,Rwanda,True,Rwanda,True,Rwanda,True
69a710fd-f216-43b8-9ec6-8fd324c49690,internvl2,Nigeria,Brazil,False,D,Food / Objects,0.608631,Nigeria,True,Nigeria,True,Nigeria,True
30beeebf-ea67-484f-93a7-2cfd29242fe4,internvl2,Nigeria,Ethiopia,False,G,Natural Landscape,0.990777,Nigeria,True,Nigeria,True,Nigeria,True
6edf17b0-f94a-42d4-b233-4234439deda4,internvl2,Nigeria,Brazil,False,D,Food / Objects,0.996366,Nigeria,True,Nigeria,True,Nigeria,True
c6582a96-d4df-4b5a-8a86-3652687aa1e8,internvl2,Nigeria,Nigeria,True,D,Food / Objects,0.97836,Rwanda,True,Nigeria,False,Rwanda,True
13f37320-7bb5-4232-9bf2-8f28c57c4582,internvl2,USA,USA,True,D,Food / Objects,0.991723,USA,False,USA,False,USA,False
9e63b44b-6f24-4288-9b27-8626e11bf0a3,internvl2,USA,Brazil,False,D,Food / Objects,0.977356,Turkey,True,Turkey,True,Turkey,True
a2dcde1c-1b2c-4936-ac07-8e912413e23e,internvl2,USA,Turkey,False,D,Food / Objects,0.977079,Iran,True,India,True,India,True
6f5bf0aa-f72d-4e5d-8ac8-bcc1761d0f8a,internvl2,USA,USA,True,G,Natural Landscape,0.813636,Canada,True,Canada,True,Canada,True
41388d0a-c0cd-4947-a415-db9ba4893bcd,internvl2,USA,USA,True,D,Food / Objects,0.968627,USA,False,USA,False,Rwanda,True
4455c508-07a5-483c-a247-92904d635fee,internvl2,USA,Brazil,False,D,Food / Objects,0.733079,USA,True,Nigeria,True,Nigeria,True
9e592190-7413-4778-8631-3908e7577661,internvl2,USA,Ethiopia,False,F,Ritual / Festival,0.57268,Ethiopia,False,Ethiopia,False,Ethiopia,False
a6b53f36-7864-4876-a058-7e0be321388b,internvl2,USA,USA,True,H,Appearance,0.462822,USA,False,USA,False,Ethiopia,True
5473783d-ba57-45b2-8414-33eb26c36ccf,internvl2,USA,USA,True,H,Appearance,0.683984,India,True,Canada,True,Canada,True
89df03ce-b19f-474d-8f36-e9b41be7d3d5,internvl2,USA,USA,True,D,Food / Objects,0.981588,India,True,Ethiopia,True,Ethiopia,True
7d6f190c-4df7-4306-a1e9-b87ed1e3087c,internvl2,USA,China,False,A,National Symbols,0.886297,USA,True,Iran,True,Iran,True
ff57c370-a704-49a2-8662-f040dca197df,internvl2,USA,Brazil,False,H,Appearance,0.624307,Brazil,False,India,True,India,True
87a16f79-2e21-4b11-93b2-4871169911e7,internvl2,USA,USA,True,A,National Symbols,0.869866,USA,False,USA,False,USA,False
1880497c-e945-4689-839e-03022a70d7a7,internvl2,USA,USA,True,H,Appearance,0.876361,USA,False,USA,False,USA,False
4436f0b0-f4fe-4383-911d-4640c75d9018,internvl2,USA,Nigeria,False,H,Appearance,0.549924,Ethiopia,True,USA,True,Rwanda,True
46718728-a72a-4651-a2dc-d9d39b32ab74,internvl2,USA,Brazil,False,H,Appearance,0.69683,Nigeria,True,Nigeria,True,Nigeria,True
87cc957e-bd81-4ea9-8d40-d6d9bce4ec76,internvl2,USA,USA,True,B,Clothing / Dress,0.565689,Germany,True,Iran,True,Iran,True
2b697bc6-809b-4d92-aa10-10c31472acaa,internvl2,USA,USA,True,H,Appearance,0.379956,Germany,True,Germany,True,Germany,True
f3dee24e-9af4-4a3e-b21c-ad8bf74510dc,internvl2,USA,Rwanda,False,G,Natural Landscape,0.610444,Nigeria,True,Nigeria,True,Nigeria,True
b6aaf31f-d668-4f6e-9d34-c7ecbfa7c8a8,internvl2,USA,USA,True,A,National Symbols,0.922065,USA,False,Canada,True,USA,False
9f2b9f74-faa4-4b54-a4f1-aa65e32cb9f9,internvl2,USA,Brazil,False,D,Food / Objects,0.621304,India,True,Ethiopia,True,Ethiopia,True
7cd63749-44d8-4024-ac6c-727bde0ae91a,internvl2,USA,USA,True,H,Appearance,0.409998,Rwanda,True,Rwanda,True,Nigeria,True
dca004c5-3d95-44e6-95ef-8116165e04a3,internvl2,USA,USA,True,F,Ritual / Festival,0.566028,Brazil,True,Brazil,True,USA,False
d527b146-00a1-41fb-8671-6114ee9cabb9,internvl2,USA,USA,True,H,Appearance,0.448023,USA,False,Rwanda,True,USA,False
2fd3e1c4-4980-4f7d-8876-69cd79654a75,internvl2,USA,Brazil,False,D,Food / Objects,0.621304,India,True,Ethiopia,True,Ethiopia,True
41e6fcd3-a802-4639-a9f3-3943c6b1242a,internvl2,India,Canada,False,G,Natural Landscape,0.980569,China,True,China,True,India,True
6a8d47c3-55db-4f2d-b7e0-6c25b6a268c8,internvl2,India,USA,False,C,Architecture,0.849231,India,True,India,True,India,True
b577985c-6eca-41d4-805c-13fdb8822df8,internvl2,India,India,True,F,Ritual / Festival,0.995475,India,False,India,False,India,False
fdc20e45-b3db-48bd-946b-8969194f3fde,internvl2,India,Brazil,False,H,Appearance,0.446824,Rwanda,True,Rwanda,True,Rwanda,True
9844e1be-1620-44ee-ac68-57ae9d58ab4f,internvl2,India,India,True,F,Ritual / Festival,0.924595,India,False,India,False,India,False
eced265e-c274-45b9-9e1d-16ab6fbad9cd,internvl2,India,India,True,H,Appearance,0.404414,India,False,India,False,India,False
a9aa210b-bfa3-4ff6-8c82-3c3e7b4544b5,internvl2,India,India,True,B,Clothing / Dress,0.7624,India,False,India,False,India,False
0c06402c-32eb-4fb0-bd5c-3d8ce5f6e9e2,internvl2,India,India,True,B,Clothing / Dress,0.809081,India,False,India,False,India,False
ac9a3d5c-63dd-4fbd-9676-9f913f4029f3,internvl2,India,India,True,B,Clothing / Dress,0.789133,India,False,India,False,India,False
520f8c8b-3426-4a8e-affd-07b0c26f954b,internvl2,India,India,True,B,Clothing / Dress,0.90861,India,False,India,False,India,False
d4d631c2-4c15-4f43-b3bb-bd1fe3157b64,internvl2,India,Canada,False,G,Natural Landscape,0.38294,India,True,India,True,India,True
0f7abdc3-c885-4d91-bb7d-67f1c607a7d0,internvl2,India,Brazil,False,G,Natural Landscape,0.977219,India,True,India,True,India,True
be330458-bfe8-4b6d-ab4f-0e121faca59d,internvl2,India,India,True,A,National Symbols,0.634569,India,False,India,False,India,False
ae89905e-966f-43f0-8c0f-cc4ce1b87ac1,internvl2,India,Iran,False,G,Natural Landscape,0.983632,Canada,True,Canada,True,Canada,True
3156bba1-7c6d-417e-8841-d6319dc7e3af,internvl2,India,Brazil,False,H,Appearance,0.679976,Rwanda,True,Rwanda,True,Rwanda,True
dad09341-9891-4f9e-b292-1f834f9fedc4,internvl2,India,Brazil,False,D,Food / Objects,0.724616,Ethiopia,True,Ethiopia,True,Ethiopia,True
9e192054-6b30-44b3-841f-785853bfe7e4,internvl2,India,China,False,H,Appearance,0.569559,Rwanda,True,Rwanda,True,Rwanda,True
4048bef4-586f-466a-8f53-3a1332979fcd,internvl2,India,India,True,D,Food / Objects,0.83319,India,False,India,False,India,False
c62249de-cc8b-43b7-aa90-842dbd8d89e2,internvl2,India,China,False,D,Food / Objects,0.40164,Iran,True,Iran,True,Iran,True
6ec6b59a-9126-4462-89ee-df55d996f4ab,internvl2,India,Brazil,False,C,Architecture,0.715001,India,True,India,True,India,True
5c7b7038-b58d-4a21-b867-b7a72612ff55,internvl2,India,India,True,D,Food / Objects,0.536796,India,False,India,False,India,False
39e397ed-fa8c-40ee-974d-b2f01e397e64,internvl2,India,India,True,H,Appearance,0.291855,India,False,India,False,Ethiopia,True
a82f3319-8037-44df-bcab-0d39d14590e6,internvl2,India,Turkey,False,D,Food / Objects,0.923618,India,True,India,True,India,True
3bbeaac4-39d5-449f-b8e0-69a66bbb9400,internvl2,India,India,True,H,Appearance,0.339152,Nigeria,True,Iran,True,Iran,True
4e2b3e11-9de8-4bfb-99c2-0bac3f7c7618,internvl2,India,China,False,G,Natural Landscape,0.745813,Ethiopia,True,Ethiopia,True,Ethiopia,True
