u_id,max_score,mean_score,std_score,positive_fraction,entropy,top_patch_row,top_patch_col,country,facet,prediction,correct
46718728-a72a-4651-a2dc-d9d39b32ab74,0.05043801,0.012647186,0.014986726,0.6479591836734694,4.743265,8,8,USA,clothing,USA,True
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,0.09017742,0.0021071206,0.012937706,0.44387755102040816,4.640889,7,5,China,rituals,China,True
5c7b7038-b58d-4a21-b867-b7a72612ff55,0.102717936,0.018249342,0.03450401,0.5051020408163265,4.586606,9,5,India,food,China,False
67fa11a3-fa1f-4817-a189-87f38daf3011,0.05115086,0.008452702,0.019061124,0.6326530612244898,3.4902704,4,2,Nigeria,drink,Brazil,False
4b6b43e4-d3c9-4faf-8ed9-ed1e51754baf,0.123072326,0.0028259985,0.07286959,0.4897959183673469,3.7733011,1,6,Nigeria,rituals,Rwanda,False
0c5aee4c-d9fe-462e-8df1-ef7320c618cb,0.07219735,0.0034512877,0.02018227,0.4387755102040816,4.743431,1,11,Turkey,clothing,USA,False
7fa37c8c-5b74-4898-ba37-a0c2933cdb03,0.03372232,-0.0029325273,0.012652465,0.3520408163265306,5.032727,10,5,Rwanda,drink,USA,False
87a16f79-2e21-4b11-93b2-4871169911e7,0.009226501,0.001118098,0.0023452465,0.6479591836734694,4.9188156,1,1,USA,rituals,USA,True
1bad08e1-1e74-421f-996f-5c435cb367e3,0.06366885,0.014710399,0.0141576715,0.7142857142857143,4.7526836,2,11,China,traditions,China,True
bb027c12-2666-421b-a523-4bd7c4c30f20,0.11116692,0.026638327,0.023527794,0.6836734693877551,4.8239994,12,10,Nigeria,traditions,Brazil,False
184d6c08-7237-4f6b-b49d-04b5b2bef635,0.01246345,0.0007603798,0.0023251572,0.41836734693877553,4.3701553,5,13,Canada,traditions,Canada,True
6f8351dc-db39-4a4c-9370-b035dc80d66f,0.18219343,0.028553002,0.04394154,0.5357142857142857,4.5243206,9,3,Brazil,traditions,Brazil,True
6e72fc43-14d2-40a5-863c-62d14dc5facb,0.20852634,0.05045718,0.062908605,0.5918367346938775,3.387835,3,4,Nigeria,rituals,Rwanda,False
96b37654-4373-4743-981d-ef25317c602a,0.23341349,0.087490276,0.07798149,0.6428571428571429,4.739844,13,5,Canada,drink,USA,False
