true_country,model,max_score,frac_positive,entropy
Brazil,clip,0.1076,0.5249,2.6684
Brazil,internvl2,0.0305,0.5233,2.7533
Brazil,llava,0.1013,0.7947,3.4288
Brazil,qwen2vl,0.1162,0.7109,3.114
Canada,clip,0.1348,0.6376,3.1224
Canada,internvl2,0.0449,0.6563,2.9762
Canada,llava,0.0921,0.6876,2.9258
Canada,qwen2vl,0.139,0.6956,2.9386
China,clip,0.1476,0.5996,2.913
China,internvl2,0.091,0.5578,2.7267
China,llava,0.1116,0.784,3.2129
China,qwen2vl,0.0394,0.5224,2.5115
Ethiopia,clip,0.1619,0.5551,2.6064
Ethiopia,internvl2,0.122,0.631,2.9168
Ethiopia,llava,0.1923,0.8406,3.3176
Ethiopia,qwen2vl,0.1831,0.6245,2.5498
Germany,clip,0.1625,0.7065,3.1527
Germany,internvl2,0.1491,0.5131,2.5804
Germany,llava,0.1117,0.6623,2.5989
Germany,qwen2vl,0.1455,0.6842,2.9495
India,clip,0.0983,0.5641,2.83
India,internvl2,0.0812,0.5878,2.766
India,llava,0.0748,0.751,3.4498
India,qwen2vl,0.0674,0.7273,3.0807
Iran,clip,0.165,0.4983,2.6764
Iran,internvl2,0.0969,0.5448,2.7189
Iran,llava,0.0722,0.6948,3.32
Iran,qwen2vl,0.0905,0.606,2.632
Nigeria,clip,0.1256,0.409,2.3372
Nigeria,internvl2,0.042,0.5829,2.9432
Nigeria,llava,0.098,0.5645,2.9939
Nigeria,qwen2vl,0.12,0.5587,2.5254
Rwanda,clip,0.1512,0.5673,2.9511
Rwanda,internvl2,0.0754,0.6376,2.9898
Rwanda,llava,0.1222,0.7073,3.5076
Rwanda,qwen2vl,0.1151,0.5145,2.5176
Turkey,clip,0.2461,0.689,3.1338
Turkey,internvl2,0.1083,0.569,2.7754
Turkey,llava,0.1784,0.692,3.1048
Turkey,qwen2vl,0.0915,0.7673,3.1163
USA,clip,0.2161,0.6139,3.0137
USA,internvl2,0.0352,0.6367,2.911
USA,llava,0.0982,0.4704,2.4012
USA,qwen2vl,0.083,0.6871,2.97
