u_id,model,pred_country,correct,auc_ranked,auc_random,auc_gap,conf_step0,conf_step1,conf_step2,conf_step3,conf_step4,conf_step5,conf_step6,conf_step7,conf_step8,conf_step9,conf_step10
1309b373-b885-4aa0-b6f8-7aab4b734ac2,clip,China,True,0.4774,0.59257,-0.11517,0.88996,0.64542,0.64542,0.64542,0.64542,0.64542,0.53135,0.38189,0.10188,0.06306,0.04749
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,clip,China,True,0.13871,0.36971,-0.231,0.88438,0.09646,0.10613,0.07589,0.16416,0.14146,0.07541,0.08041,0.09034,0.08009,0.06903
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,clip,China,True,0.44998,0.61945,-0.16947,0.8061,0.5931,0.4273,0.41083,0.3509,0.45911,0.45911,0.45911,0.45911,0.44771,0.06091
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,clip,China,True,0.37004,0.62109,-0.25104,0.95928,0.56914,0.61347,0.7533,0.45775,0.16226,0.21432,0.12785,0.12847,0.15799,0.07248
1bad08e1-1e74-421f-996f-5c435cb367e3,clip,China,True,0.52632,0.28436,0.24196,0.98301,0.95789,0.9723,0.94226,0.94681,0.79129,0.05455,0.02023,0.03455,0.03455,0.03455
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,clip,China,True,0.79726,0.4725,0.32476,0.92498,0.8487,0.84623,0.85868,0.85868,0.85868,0.86938,0.89123,0.81145,0.64073,0.05266
07dabc78-3e60-46e1-b6e4-14c03b083f61,clip,Rwanda,False,0.24819,0.2789,-0.03071,0.2082,0.21562,0.24991,0.27392,0.32278,0.20006,0.25395,0.28903,0.23292,0.21475,0.24977
e8417033-3d23-4eb3-b225-e8d68ff8cde3,clip,China,True,0.0686,0.09502,-0.02641,0.32108,0.12002,0.11485,0.04203,0.03988,0.04058,0.04058,0.04058,0.03965,0.03393,0.02679
7469bf5a-e55b-4077-8c23-4f80be8daa32,clip,Canada,False,0.06362,0.08485,-0.02124,0.08671,0.08415,0.04935,0.09049,0.07873,0.0421,0.05976,0.05229,0.05229,0.05229,0.06279
803df59c-07e6-4459-a5cb-8c2e27237461,clip,China,True,0.77982,0.61022,0.16961,0.98691,0.96048,0.94943,0.94583,0.81224,0.81224,0.81224,0.81224,0.69222,0.48776,0.0402
b2886064-331e-4c71-a625-d9d2c5cd9421,clip,China,True,0.06525,0.08034,-0.01508,0.10061,0.03599,0.04842,0.06794,0.07794,0.07794,0.08537,0.06876,0.08093,0.0389,0.04007
f009866e-207b-4ed4-b0d2-150b69a5d0b0,clip,China,True,0.51318,0.66788,-0.1547,0.82638,0.7702,0.65176,0.56299,0.51487,0.60764,0.48213,0.35468,0.35468,0.37892,0.08148
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,clip,China,True,0.62515,0.50882,0.11633,0.94511,0.81964,0.84606,0.8466,0.8426,0.62531,0.53187,0.53187,0.53187,0.17374,0.05883
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,clip,China,True,0.16566,0.23309,-0.06743,0.86055,0.12342,0.10184,0.19002,0.26788,0.1771,0.17283,0.12648,0.02523,0.02507,0.03294
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,clip,China,True,0.17089,0.66888,-0.49799,0.97767,0.57205,0.19193,0.08068,0.1002,0.05683,0.05282,0.06459,0.03748,0.03748,0.052
a8f5c325-4cc4-4371-bd45-5d19156de028,clip,China,True,0.77737,0.85943,-0.08206,0.96372,0.87475,0.9106,0.95216,0.89615,0.90811,0.9398,0.92579,0.83645,0.02425,0.04761
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,clip,Brazil,False,0.09885,0.12366,-0.02481,0.4282,0.10973,0.09107,0.12133,0.09246,0.06976,0.06849,0.0543,0.0543,0.0543,0.11737
22bb7d28-bb29-4a85-af25-85f66ce70d52,clip,China,True,0.17154,0.21832,-0.04678,0.64195,0.06941,0.09881,0.13803,0.31199,0.15603,0.15603,0.15603,0.16815,0.11102,0.05784
4c169dc1-0511-4867-803b-2c5724589072,clip,China,True,0.43889,0.57041,-0.13152,0.93669,0.78702,0.76869,0.5778,0.33146,0.67281,0.3687,0.25701,0.08783,0.03708,0.06423
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,clip,China,True,0.43266,0.39856,0.03409,0.93817,0.54878,0.50212,0.55469,0.49375,0.44082,0.41643,0.45669,0.28951,0.12678,0.0558
aa454b8a-ea44-47d8-bfc5-8e0691affc18,clip,China,True,0.54363,0.57542,-0.03179,0.96847,0.95317,0.95242,0.95242,0.95242,0.91726,0.07455,0.03467,0.03199,0.05927,0.04785
c4ba628f-6ccc-4659-88e0-989cf36c6b66,clip,Canada,True,0.25917,0.44932,-0.19016,0.99584,0.79145,0.66498,0.15521,0.0619,0.0952,0.0952,0.0952,0.05562,0.04416,0.06967
c6e2a507-d64e-4f66-a017-8c4bec7a25aa,clip,Germany,False,0.26631,0.20057,0.06574,0.44448,0.37257,0.38396,0.33133,0.27396,0.24148,0.2445,0.2122,0.28426,0.06144,0.07036
48cb84ac-f6c8-41d5-a8bd-433790fd4228,clip,USA,False,0.03078,0.03368,-0.0029,0.1381,0.03808,0.02508,0.01939,0.02286,0.01895,0.0206,0.0206,0.02728,0.01621,0.05948
af32828e-77c5-4c31-ad76-c68b4c3d2cfb,clip,Germany,False,0.2276,0.21588,0.01173,0.15559,0.19885,0.35552,0.34281,0.23993,0.23145,0.23145,0.23145,0.21742,0.1098,0.07913
96b37654-4373-4743-981d-ef25317c602a,clip,USA,False,0.06547,0.07706,-0.01159,0.30829,0.04326,0.05044,0.0356,0.02483,0.02404,0.0735,0.0711,0.0711,0.0711,0.0711
a2ebb579-6a95-4ef6-90d3-7472f9739d27,clip,USA,False,0.07696,0.07302,0.00393,0.16422,0.15483,0.10904,0.09783,0.09819,0.06709,0.03198,0.03032,0.04317,0.03456,0.04093
734acb99-0962-4131-b4f7-725c20411db8,clip,Canada,True,0.22141,0.4705,-0.24908,0.962,0.29358,0.39688,0.18346,0.20056,0.17682,0.11132,0.19645,0.05552,0.08844,0.0602
a914a20e-7219-43e5-929a-a60eeb2b0eba,clip,USA,False,0.15597,0.27102,-0.11505,0.68477,0.09971,0.09532,0.14824,0.26899,0.35842,0.08988,0.05017,0.03447,0.04265,0.05889
