u_id,model,pred_country,correct,auc_ranked,auc_random,auc_gap,conf_step0,conf_step1,conf_step2,conf_step3,conf_step4,conf_step5,conf_step6,conf_step7,conf_step8,conf_step9,conf_step10
1309b373-b885-4aa0-b6f8-7aab4b734ac2,internvl2,China,True,0.30253,0.59513,-0.29261,0.88996,0.6806,0.77149,0.62445,0.19537,0.06767,0.06829,0.06026,0.05935,0.03673,0.03222
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,internvl2,China,True,0.17705,0.27344,-0.09639,0.88438,0.49533,0.26469,0.09883,0.05953,0.0701,0.1144,0.09103,0.07153,0.04055,0.04464
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,internvl2,China,True,0.41495,0.51778,-0.10283,0.8061,0.69339,0.61429,0.62957,0.49699,0.51314,0.21763,0.40163,0.06119,0.08849,0.06019
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,internvl2,China,True,0.3721,0.56934,-0.19723,0.95928,0.95532,0.43766,0.30123,0.36656,0.34925,0.47582,0.18157,0.08146,0.06544,0.05422
1bad08e1-1e74-421f-996f-5c435cb367e3,internvl2,China,True,0.77918,0.57732,0.20186,0.98301,0.96473,0.95754,0.94975,0.95532,0.95239,0.90143,0.81292,0.77955,0.01764,0.01808
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,internvl2,China,True,0.70247,0.62162,0.08086,0.92498,0.91042,0.87255,0.82415,0.82454,0.77799,0.71865,0.70981,0.69915,0.19865,0.05266
07dabc78-3e60-46e1-b6e4-14c03b083f61,internvl2,Brazil,False,0.11541,0.12143,-0.00602,0.15223,0.09212,0.17927,0.16974,0.13335,0.09229,0.07627,0.07586,0.1133,0.09837,0.09482
e8417033-3d23-4eb3-b225-e8d68ff8cde3,internvl2,China,True,0.06239,0.11467,-0.05228,0.32108,0.0689,0.05116,0.04244,0.07312,0.07425,0.04517,0.03008,0.03357,0.03099,0.02748
7469bf5a-e55b-4077-8c23-4f80be8daa32,internvl2,Brazil,False,0.05766,0.04635,0.01131,0.07679,0.03987,0.02824,0.04276,0.05241,0.06747,0.11768,0.06076,0.058,0.03262,0.07685
803df59c-07e6-4459-a5cb-8c2e27237461,internvl2,China,True,0.45913,0.77121,-0.31208,0.98691,0.93769,0.90676,0.85218,0.68836,0.35789,0.06049,0.05028,0.07767,0.15347,0.02601
b2886064-331e-4c71-a625-d9d2c5cd9421,internvl2,India,False,0.08496,0.09716,-0.0122,0.03231,0.05875,0.06023,0.05624,0.06998,0.08823,0.10621,0.11152,0.1128,0.12253,0.09392
f009866e-207b-4ed4-b0d2-150b69a5d0b0,internvl2,China,True,0.5333,0.56863,-0.03532,0.82638,0.55282,0.48267,0.69922,0.57998,0.57923,0.35733,0.35883,0.66199,0.60704,0.08148
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,internvl2,China,True,0.6612,0.69497,-0.03376,0.94511,0.89944,0.90257,0.82334,0.83655,0.75665,0.65481,0.58886,0.59443,0.05343,0.05883
