u_id,model,pred_country,correct,auc_ranked,auc_random,auc_gap,conf_step0,conf_step1,conf_step2,conf_step3,conf_step4,conf_step5,conf_step6,conf_step7,conf_step8,conf_step9,conf_step10
1309b373-b885-4aa0-b6f8-7aab4b734ac2,llava,China,True,0.22618,0.59257,-0.36639,0.88996,0.51171,0.57825,0.38252,0.15064,0.04416,0.04813,0.02121,0.02461,0.03185,0.04749
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,llava,China,True,0.234,0.26193,-0.02793,0.88438,0.75898,0.26464,0.26127,0.08879,0.08674,0.10701,0.10734,0.13822,0.06251,0.04464
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,llava,China,True,0.56008,0.43825,0.12184,0.8061,0.68539,0.57436,0.5491,0.6742,0.65461,0.70284,0.59105,0.55169,0.18446,0.06019
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,llava,China,True,0.27773,0.61451,-0.33678,0.95928,0.5019,0.33898,0.3276,0.29146,0.25292,0.28039,0.12265,0.10352,0.05113,0.05422
1bad08e1-1e74-421f-996f-5c435cb367e3,llava,China,True,0.3223,0.54842,-0.22612,0.98301,0.37323,0.4244,0.44058,0.63567,0.59691,0.07914,0.05018,0.06095,0.06144,0.01808
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,llava,China,True,0.55936,0.5304,0.02896,0.92498,0.8919,0.74624,0.69035,0.66748,0.57132,0.54173,0.46121,0.33608,0.1985,0.05266
07dabc78-3e60-46e1-b6e4-14c03b083f61,llava,Canada,False,0.03383,0.04905,-0.01522,0.01443,0.03083,0.02434,0.02304,0.02857,0.03088,0.04487,0.02951,0.01884,0.05047,0.09945
e8417033-3d23-4eb3-b225-e8d68ff8cde3,llava,Brazil,False,0.09282,0.06926,0.02357,0.10629,0.06328,0.11845,0.11582,0.1216,0.09015,0.08529,0.08484,0.08923,0.08155,0.04975
7469bf5a-e55b-4077-8c23-4f80be8daa32,llava,Brazil,False,0.04923,0.04936,-0.00013,0.07679,0.04299,0.0393,0.03429,0.04802,0.05332,0.05469,0.06983,0.03307,0.04001,0.07685
803df59c-07e6-4459-a5cb-8c2e27237461,llava,China,True,0.37513,0.62298,-0.24785,0.98691,0.95481,0.821,0.551,0.50938,0.1901,0.04558,0.06765,0.04603,0.05223,0.0402
b2886064-331e-4c71-a625-d9d2c5cd9421,llava,Brazil,False,0.04815,0.03976,0.00839,0.03426,0.038,0.03526,0.0393,0.04098,0.03663,0.03869,0.04128,0.08974,0.05191,0.10518
f009866e-207b-4ed4-b0d2-150b69a5d0b0,llava,China,True,0.54739,0.46093,0.08645,0.82638,0.57331,0.70077,0.70804,0.70497,0.61873,0.60976,0.30297,0.65593,0.14545,0.08148
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,llava,China,True,0.26458,0.4822,-0.21761,0.94511,0.85363,0.29683,0.20297,0.19369,0.20731,0.21931,0.07049,0.05492,0.04472,0.05883
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,llava,Brazil,False,0.05003,0.04643,0.0036,0.00426,0.04464,0.06262,0.05277,0.04229,0.04518,0.05238,0.04201,0.04722,0.0667,0.08459
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,llava,China,True,0.23418,0.88073,-0.64655,0.97767,0.95644,0.35124,0.10609,0.10817,0.04917,0.04902,0.05002,0.07944,0.07739,0.052
a8f5c325-4cc4-4371-bd45-5d19156de028,llava,China,True,0.79714,0.69161,0.10553,0.96372,0.94356,0.97346,0.89009,0.84343,0.86698,0.91233,0.95467,0.55812,0.52308,0.04761
