u_id,model,pred_country,correct,auc_ranked,auc_random,auc_gap
1309b373-b885-4aa0-b6f8-7aab4b734ac2,clip,China,True,0.86303,0.49933,0.36369
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,clip,China,True,0.3701,0.14464,0.22546
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,clip,China,True,0.71351,0.70506,0.00845
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,clip,China,True,0.87341,0.69157,0.18183
1bad08e1-1e74-421f-996f-5c435cb367e3,clip,China,True,0.83267,0.73403,0.09864
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,clip,China,True,0.70169,0.72836,-0.02667
07dabc78-3e60-46e1-b6e4-14c03b083f61,clip,Rwanda,False,0.18888,0.19767,-0.00879
e8417033-3d23-4eb3-b225-e8d68ff8cde3,clip,China,True,0.09919,0.13984,-0.04064
7469bf5a-e55b-4077-8c23-4f80be8daa32,clip,Canada,False,0.14626,0.10483,0.04143
803df59c-07e6-4459-a5cb-8c2e27237461,clip,China,True,0.97895,0.97229,0.00666
b2886064-331e-4c71-a625-d9d2c5cd9421,clip,China,True,0.10799,0.09714,0.01085
f009866e-207b-4ed4-b0d2-150b69a5d0b0,clip,China,True,0.77853,0.66114,0.11739
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,clip,China,True,0.47185,0.3902,0.08165
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,clip,China,True,0.45626,0.31649,0.13977
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,clip,China,True,0.74248,0.89526,-0.15278
a8f5c325-4cc4-4371-bd45-5d19156de028,clip,China,True,0.9342,0.92926,0.00494
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,clip,Brazil,False,0.26881,0.13639,0.13242
22bb7d28-bb29-4a85-af25-85f66ce70d52,clip,China,True,0.23458,0.27544,-0.04087
4c169dc1-0511-4867-803b-2c5724589072,clip,China,True,0.72807,0.40849,0.31958
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,clip,China,True,0.86955,0.48937,0.38018
aa454b8a-ea44-47d8-bfc5-8e0691affc18,clip,China,True,0.50547,0.43935,0.06612
c4ba628f-6ccc-4659-88e0-989cf36c6b66,clip,Canada,True,0.99287,0.9306,0.06227
c6e2a507-d64e-4f66-a017-8c4bec7a25aa,clip,Germany,False,0.41183,0.35986,0.05197
48cb84ac-f6c8-41d5-a8bd-433790fd4228,clip,USA,False,0.08075,0.05871,0.02204
af32828e-77c5-4c31-ad76-c68b4c3d2cfb,clip,Germany,False,0.15565,0.11993,0.03572
96b37654-4373-4743-981d-ef25317c602a,clip,USA,False,0.14006,0.07591,0.06415
a2ebb579-6a95-4ef6-90d3-7472f9739d27,clip,USA,False,0.16187,0.1174,0.04446
734acb99-0962-4131-b4f7-725c20411db8,clip,Canada,True,0.85513,0.48543,0.3697
a914a20e-7219-43e5-929a-a60eeb2b0eba,clip,USA,False,0.59779,0.59534,0.00245
8869939b-17da-472e-8637-58d80e9291e7,clip,Canada,True,0.18869,0.19664,-0.00795
184d6c08-7237-4f6b-b49d-04b5b2bef635,clip,Canada,True,0.94781,0.90839,0.03942
8a4aa22a-5c51-425d-ad3d-69de43f88b0c,clip,Canada,True,0.1773,0.12056,0.05675
6c905b2d-0ff6-4c21-b0ef-50861a2cc2b5,clip,Canada,True,0.34767,0.20547,0.1422
0c62e0fb-0aea-49a7-b333-b15a64c8359f,clip,Turkey,False,0.64057,0.44445,0.19612
7174dc33-dbe6-4c70-a3ef-ae0be8ab6b29,clip,Canada,True,0.08378,0.06718,0.0166
fdd8ea6d-e848-4b9c-af83-8e1ad010ef1e,clip,Germany,False,0.14809,0.12844,0.01965
b5ddf9ce-952d-4fe5-a878-b1ffe90ff1ef,clip,USA,False,0.30361,0.36003,-0.05641
4f04c1f6-a284-4219-9412-beacc222f51d,clip,Germany,False,0.66972,0.30264,0.36708
fa9d08f1-413b-4a05-b058-380843d46806,clip,Canada,True,0.49629,0.14668,0.34961
746e8569-1091-499b-8de8-08bce681dd84,clip,Canada,True,0.99045,0.98805,0.0024
19ae4ab7-a1b1-47c9-a81d-24a4020df41a,clip,Brazil,False,0.31185,0.17871,0.13314
318807ce-d521-41f7-b9b2-e533deb7a178,clip,USA,False,0.56244,0.39535,0.16709
acd68d0e-9d10-40ef-9fd1-cbdc720808ef,clip,Canada,True,0.95122,0.74541,0.2058
591a4da1-0a04-4dc6-ba4e-a3526dbce1c6,clip,Canada,True,0.45289,0.40643,0.04647
bfa7333e-1ab0-4ebc-b11c-d7c0cc5a9e8c,clip,Canada,True,0.9924,0.98027,0.01212
87161e09-edf6-46a7-acf4-1d2ba9f61348,clip,Canada,True,0.42387,0.20864,0.21522
31824d6c-cdda-43df-9792-17cb3f44217d,clip,Rwanda,False,0.15451,0.13265,0.02186
7409a04b-e4e0-48a6-83aa-9ea94eeb78da,clip,Germany,False,0.22041,0.16503,0.05538
a2ccb005-d747-43f8-8315-2518a1ece07d,clip,Rwanda,False,0.16144,0.13864,0.0228
bb027c12-2666-421b-a523-4bd7c4c30f20,clip,Brazil,False,0.15011,0.10378,0.04632
4713f5b0-48da-4ab5-99bc-ffe12d7d62fa,clip,Rwanda,False,0.56863,0.42882,0.13981
98b439d0-91bc-40ba-8d77-ec2889c96666,clip,Nigeria,True,0.76529,0.75153,0.01376
4457fdf9-a623-41bd-8a0d-fd42128f38b3,clip,Nigeria,True,0.87673,0.7165,0.16024
2c1bd295-9cde-47af-af0e-202c03272d01,clip,Nigeria,True,0.90487,0.88777,0.0171
da343301-2fc3-42b9-9d8e-7f90b000f00f,clip,Rwanda,False,0.83172,0.86483,-0.03311
c717f3a6-7b14-4f61-b395-89d63b0c6e73,clip,Nigeria,True,0.47926,0.53923,-0.05997
4b6b43e4-d3c9-4faf-8ed9-ed1e51754baf,clip,Rwanda,False,0.34971,0.38891,-0.0392
6e72fc43-14d2-40a5-863c-62d14dc5facb,clip,Rwanda,False,0.47802,0.40893,0.06909
60c2f1e2-820c-4c10-a873-af1a75d9e4db,clip,Nigeria,True,0.99657,0.99496,0.00161
0ce7d616-31bd-4eac-99ec-195e0172b4fc,clip,Rwanda,False,0.87786,0.84883,0.02903
3a181f33-846c-43f8-8512-5919ce7088bf,clip,India,False,0.87437,0.75624,0.11813
67fa11a3-fa1f-4817-a189-87f38daf3011,clip,Brazil,False,0.09523,0.05886,0.03637
6518121e-ba08-4e76-aa33-2c2e00598fdd,clip,Rwanda,False,0.40744,0.20117,0.20628
dc012abe-5e86-41c4-b740-a9e91a0fe240,clip,Rwanda,False,0.3395,0.22286,0.11664
3b78bd2d-5f55-4480-8637-ccc22c549402,clip,Nigeria,True,0.81783,0.77101,0.04683
9ace2f1e-6a06-45ba-bed9-46ac3b80b038,clip,Rwanda,False,0.28451,0.21236,0.07215
ecd4f0c8-0bb6-4a35-ac36-66588d7d4185,clip,USA,False,0.08699,0.09214,-0.00516
69a710fd-f216-43b8-9ec6-8fd324c49690,clip,Nigeria,True,0.46931,0.48793,-0.01862
30beeebf-ea67-484f-93a7-2cfd29242fe4,clip,Nigeria,True,0.93915,0.83884,0.10031
6edf17b0-f94a-42d4-b233-4234439deda4,clip,Nigeria,True,0.75854,0.46136,0.29719
c6582a96-d4df-4b5a-8a86-3652687aa1e8,clip,Nigeria,True,0.18254,0.18166,0.00087
13f37320-7bb5-4232-9bf2-8f28c57c4582,clip,USA,True,0.41603,0.32109,0.09494
9e63b44b-6f24-4288-9b27-8626e11bf0a3,clip,Turkey,False,0.42783,0.20635,0.22148
