u_id,model,pred_country,correct,auc_ranked,auc_random,auc_gap
1309b373-b885-4aa0-b6f8-7aab4b734ac2,internvl2,China,True,0.77897,0.49933,0.27964
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,internvl2,China,True,0.31684,0.14464,0.17219
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,internvl2,China,True,0.73739,0.70506,0.03233
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,internvl2,China,True,0.82006,0.69157,0.12849
1bad08e1-1e74-421f-996f-5c435cb367e3,internvl2,China,True,0.43973,0.73403,-0.2943
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,internvl2,China,True,0.69249,0.72836,-0.03587
07dabc78-3e60-46e1-b6e4-14c03b083f61,internvl2,Brazil,False,0.13617,0.10001,0.03616
e8417033-3d23-4eb3-b225-e8d68ff8cde3,internvl2,China,True,0.17186,0.13984,0.03203
7469bf5a-e55b-4077-8c23-4f80be8daa32,internvl2,Brazil,False,0.05789,0.04388,0.01401
803df59c-07e6-4459-a5cb-8c2e27237461,internvl2,China,True,0.98359,0.97229,0.0113
b2886064-331e-4c71-a625-d9d2c5cd9421,internvl2,India,False,0.10998,0.10521,0.00477
f009866e-207b-4ed4-b0d2-150b69a5d0b0,internvl2,China,True,0.79915,0.66114,0.13802
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,internvl2,China,True,0.84991,0.3902,0.45971
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,internvl2,China,True,0.21997,0.31649,-0.09652
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,internvl2,China,True,0.89971,0.89526,0.00444
a8f5c325-4cc4-4371-bd45-5d19156de028,internvl2,China,True,0.93837,0.92926,0.00911
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,internvl2,Brazil,False,0.17944,0.13639,0.04305
22bb7d28-bb29-4a85-af25-85f66ce70d52,internvl2,India,False,0.16107,0.13156,0.0295
4c169dc1-0511-4867-803b-2c5724589072,internvl2,China,True,0.59042,0.40849,0.18193
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,internvl2,China,True,0.71739,0.48937,0.22802
aa454b8a-ea44-47d8-bfc5-8e0691affc18,internvl2,China,True,0.58631,0.43935,0.14696
c4ba628f-6ccc-4659-88e0-989cf36c6b66,internvl2,Canada,True,0.98565,0.9306,0.05505
c6e2a507-d64e-4f66-a017-8c4bec7a25aa,internvl2,Germany,False,0.37961,0.35986,0.01975
48cb84ac-f6c8-41d5-a8bd-433790fd4228,internvl2,Brazil,False,0.04027,0.05694,-0.01667
af32828e-77c5-4c31-ad76-c68b4c3d2cfb,internvl2,Turkey,False,0.54816,0.46505,0.08311
96b37654-4373-4743-981d-ef25317c602a,internvl2,Brazil,False,0.09479,0.07614,0.01865
a2ebb579-6a95-4ef6-90d3-7472f9739d27,internvl2,Brazil,False,0.17702,0.16036,0.01665
734acb99-0962-4131-b4f7-725c20411db8,internvl2,Canada,True,0.64726,0.48543,0.16182
a914a20e-7219-43e5-929a-a60eeb2b0eba,internvl2,USA,False,0.60008,0.59534,0.00474
8869939b-17da-472e-8637-58d80e9291e7,internvl2,Brazil,False,0.13752,0.13949,-0.00197
184d6c08-7237-4f6b-b49d-04b5b2bef635,internvl2,USA,False,0.04929,0.07219,-0.0229
8a4aa22a-5c51-425d-ad3d-69de43f88b0c,internvl2,Brazil,False,0.14743,0.14026,0.00718
6c905b2d-0ff6-4c21-b0ef-50861a2cc2b5,internvl2,USA,False,0.18746,0.1616,0.02586
0c62e0fb-0aea-49a7-b333-b15a64c8359f,internvl2,USA,False,0.20332,0.19469,0.00863
7174dc33-dbe6-4c70-a3ef-ae0be8ab6b29,internvl2,USA,False,0.12543,0.14843,-0.02301
fdd8ea6d-e848-4b9c-af83-8e1ad010ef1e,internvl2,Brazil,False,0.0903,0.09744,-0.00715
b5ddf9ce-952d-4fe5-a878-b1ffe90ff1ef,internvl2,Brazil,False,0.24931,0.17418,0.07513
4f04c1f6-a284-4219-9412-beacc222f51d,internvl2,Brazil,False,0.05543,0.0628,-0.00737
fa9d08f1-413b-4a05-b058-380843d46806,internvl2,USA,False,0.09868,0.17224,-0.07355
746e8569-1091-499b-8de8-08bce681dd84,internvl2,Canada,True,0.9893,0.98805,0.00126
19ae4ab7-a1b1-47c9-a81d-24a4020df41a,internvl2,Turkey,False,0.04411,0.03294,0.01118
318807ce-d521-41f7-b9b2-e533deb7a178,internvl2,USA,False,0.44342,0.39535,0.04806
acd68d0e-9d10-40ef-9fd1-cbdc720808ef,internvl2,Canada,True,0.91618,0.74541,0.17076
591a4da1-0a04-4dc6-ba4e-a3526dbce1c6,internvl2,Canada,True,0.37885,0.40643,-0.02758
bfa7333e-1ab0-4ebc-b11c-d7c0cc5a9e8c,internvl2,Canada,True,0.97291,0.98027,-0.00736
87161e09-edf6-46a7-acf4-1d2ba9f61348,internvl2,Canada,True,0.29507,0.20864,0.08643
31824d6c-cdda-43df-9792-17cb3f44217d,internvl2,Nigeria,True,0.20665,0.29909,-0.09244
7409a04b-e4e0-48a6-83aa-9ea94eeb78da,internvl2,Brazil,False,0.10718,0.1344,-0.02722
a2ccb005-d747-43f8-8315-2518a1ece07d,internvl2,Turkey,False,0.04316,0.03056,0.0126
bb027c12-2666-421b-a523-4bd7c4c30f20,internvl2,Brazil,False,0.09603,0.10378,-0.00775
4713f5b0-48da-4ab5-99bc-ffe12d7d62fa,internvl2,Nigeria,True,0.30695,0.29888,0.00807
98b439d0-91bc-40ba-8d77-ec2889c96666,internvl2,Nigeria,True,0.64393,0.75153,-0.1076
4457fdf9-a623-41bd-8a0d-fd42128f38b3,internvl2,Nigeria,True,0.84152,0.7165,0.12502
2c1bd295-9cde-47af-af0e-202c03272d01,internvl2,Brazil,False,0.00762,0.00888,-0.00125
da343301-2fc3-42b9-9d8e-7f90b000f00f,internvl2,Ethiopia,False,0.05557,0.04685,0.00872
c717f3a6-7b14-4f61-b395-89d63b0c6e73,internvl2,Nigeria,True,0.61974,0.53923,0.08051
4b6b43e4-d3c9-4faf-8ed9-ed1e51754baf,internvl2,Brazil,False,0.04751,0.04871,-0.0012
6e72fc43-14d2-40a5-863c-62d14dc5facb,internvl2,Nigeria,True,0.55314,0.46275,0.09039
60c2f1e2-820c-4c10-a873-af1a75d9e4db,internvl2,Nigeria,True,0.9951,0.99496,0.00014
0ce7d616-31bd-4eac-99ec-195e0172b4fc,internvl2,Nigeria,True,0.07316,0.06304,0.01012
3a181f33-846c-43f8-8512-5919ce7088bf,internvl2,Iran,False,0.00358,0.00624,-0.00266
67fa11a3-fa1f-4817-a189-87f38daf3011,internvl2,Brazil,False,0.07683,0.05886,0.01796
6518121e-ba08-4e76-aa33-2c2e00598fdd,internvl2,Nigeria,True,0.59495,0.56217,0.03277
dc012abe-5e86-41c4-b740-a9e91a0fe240,internvl2,Nigeria,True,0.48989,0.49441,-0.00452
3b78bd2d-5f55-4480-8637-ccc22c549402,internvl2,Nigeria,True,0.56768,0.77101,-0.20333
9ace2f1e-6a06-45ba-bed9-46ac3b80b038,internvl2,India,False,0.19011,0.10536,0.08475
ecd4f0c8-0bb6-4a35-ac36-66588d7d4185,internvl2,Brazil,False,0.07305,0.07927,-0.00623
69a710fd-f216-43b8-9ec6-8fd324c49690,internvl2,Brazil,False,0.04677,0.03783,0.00894
30beeebf-ea67-484f-93a7-2cfd29242fe4,internvl2,Ethiopia,False,0.01428,0.0154,-0.00112
6edf17b0-f94a-42d4-b233-4234439deda4,internvl2,Brazil,False,0.03499,0.03073,0.00426
c6582a96-d4df-4b5a-8a86-3652687aa1e8,internvl2,Nigeria,True,0.17875,0.18166,-0.00291
13f37320-7bb5-4232-9bf2-8f28c57c4582,internvl2,USA,True,0.29961,0.32109,-0.02148
9e63b44b-6f24-4288-9b27-8626e11bf0a3,internvl2,Brazil,False,0.04161,0.0399,0.0017
a2dcde1c-1b2c-4936-ac07-8e912413e23e,internvl2,Turkey,False,0.39242,0.22352,0.16889
6f5bf0aa-f72d-4e5d-8ac8-bcc1761d0f8a,internvl2,USA,True,0.29442,0.2374,0.05703
41388d0a-c0cd-4947-a415-db9ba4893bcd,internvl2,USA,True,0.37896,0.42758,-0.04862
4455c508-07a5-483c-a247-92904d635fee,internvl2,Brazil,False,0.03187,0.0365,-0.00463
9e592190-7413-4778-8631-3908e7577661,internvl2,Ethiopia,False,0.76733,0.79964,-0.03231
a6b53f36-7864-4876-a058-7e0be321388b,internvl2,USA,True,0.20592,0.16505,0.04088
5473783d-ba57-45b2-8414-33eb26c36ccf,internvl2,USA,True,0.2997,0.25073,0.04896
89df03ce-b19f-474d-8f36-e9b41be7d3d5,internvl2,USA,True,0.29498,0.16725,0.12773
7d6f190c-4df7-4306-a1e9-b87ed1e3087c,internvl2,China,False,0.08054,0.08643,-0.00588
ff57c370-a704-49a2-8662-f040dca197df,internvl2,Brazil,False,0.10397,0.14522,-0.04124
87a16f79-2e21-4b11-93b2-4871169911e7,internvl2,USA,True,0.81057,0.74931,0.06126
1880497c-e945-4689-839e-03022a70d7a7,internvl2,USA,True,0.79396,0.75024,0.04372
4436f0b0-f4fe-4383-911d-4640c75d9018,internvl2,Nigeria,False,0.08776,0.04998,0.03778
46718728-a72a-4651-a2dc-d9d39b32ab74,internvl2,Brazil,False,0.06259,0.06663,-0.00404
87cc957e-bd81-4ea9-8d40-d6d9bce4ec76,internvl2,USA,True,0.09359,0.12568,-0.03209
