u_id,model,pred_country,correct,auc_ranked,auc_random,auc_gap
1309b373-b885-4aa0-b6f8-7aab4b734ac2,llava,China,True,0.82113,0.44644,0.37468
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,llava,China,True,0.23708,0.17906,0.05802
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,llava,China,True,0.77395,0.61997,0.15398
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,llava,China,True,0.81252,0.81544,-0.00292
1bad08e1-1e74-421f-996f-5c435cb367e3,llava,China,True,0.92594,0.6002,0.32574
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,llava,China,True,0.89518,0.84275,0.05243
07dabc78-3e60-46e1-b6e4-14c03b083f61,llava,Canada,False,0.09701,0.05299,0.04401
e8417033-3d23-4eb3-b225-e8d68ff8cde3,llava,Brazil,False,0.06643,0.06966,-0.00323
7469bf5a-e55b-4077-8c23-4f80be8daa32,llava,Brazil,False,0.04683,0.0424,0.00444
803df59c-07e6-4459-a5cb-8c2e27237461,llava,China,True,0.98444,0.97688,0.00756
b2886064-331e-4c71-a625-d9d2c5cd9421,llava,Brazil,False,0.03746,0.03767,-0.00021
f009866e-207b-4ed4-b0d2-150b69a5d0b0,llava,China,True,0.7235,0.66508,0.05842
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,llava,China,True,0.85468,0.59242,0.26226
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,llava,Brazil,False,0.02991,0.06023,-0.03033
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,llava,China,True,0.90885,0.71126,0.19759
a8f5c325-4cc4-4371-bd45-5d19156de028,llava,China,True,0.93351,0.89459,0.03892
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,llava,Brazil,False,0.228,0.16952,0.05848
22bb7d28-bb29-4a85-af25-85f66ce70d52,llava,China,True,0.19622,0.25982,-0.0636
4c169dc1-0511-4867-803b-2c5724589072,llava,China,True,0.664,0.40793,0.25607
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,llava,China,True,0.89843,0.81656,0.08187
aa454b8a-ea44-47d8-bfc5-8e0691affc18,llava,China,True,0.76155,0.57476,0.18679
c4ba628f-6ccc-4659-88e0-989cf36c6b66,llava,Canada,True,0.98289,0.97305,0.00985
c6e2a507-d64e-4f66-a017-8c4bec7a25aa,llava,Germany,False,0.24922,0.31987,-0.07065
48cb84ac-f6c8-41d5-a8bd-433790fd4228,llava,Brazil,False,0.05372,0.05273,0.00099
af32828e-77c5-4c31-ad76-c68b4c3d2cfb,llava,Germany,False,0.13459,0.1092,0.02539
96b37654-4373-4743-981d-ef25317c602a,llava,Canada,True,0.11953,0.10554,0.01399
a2ebb579-6a95-4ef6-90d3-7472f9739d27,llava,Brazil,False,0.34175,0.17418,0.16756
734acb99-0962-4131-b4f7-725c20411db8,llava,Canada,True,0.76931,0.39643,0.37289
a914a20e-7219-43e5-929a-a60eeb2b0eba,llava,Canada,True,0.11435,0.16858,-0.05423
8869939b-17da-472e-8637-58d80e9291e7,llava,Canada,True,0.23271,0.20582,0.02689
184d6c08-7237-4f6b-b49d-04b5b2bef635,llava,Canada,True,0.83912,0.84575,-0.00663
8a4aa22a-5c51-425d-ad3d-69de43f88b0c,llava,Brazil,False,0.12604,0.11555,0.01049
6c905b2d-0ff6-4c21-b0ef-50861a2cc2b5,llava,Brazil,False,0.04004,0.03768,0.00236
0c62e0fb-0aea-49a7-b333-b15a64c8359f,llava,Turkey,False,0.38744,0.46819,-0.08075
7174dc33-dbe6-4c70-a3ef-ae0be8ab6b29,llava,Canada,True,0.06663,0.0773,-0.01067
fdd8ea6d-e848-4b9c-af83-8e1ad010ef1e,llava,Brazil,False,0.11224,0.10549,0.00675
b5ddf9ce-952d-4fe5-a878-b1ffe90ff1ef,llava,Brazil,False,0.28329,0.24073,0.04256
4f04c1f6-a284-4219-9412-beacc222f51d,llava,Germany,False,0.49132,0.3807,0.11063
fa9d08f1-413b-4a05-b058-380843d46806,llava,Canada,True,0.27634,0.15208,0.12427
746e8569-1091-499b-8de8-08bce681dd84,llava,Canada,True,0.98839,0.99143,-0.00304
19ae4ab7-a1b1-47c9-a81d-24a4020df41a,llava,Turkey,False,0.04549,0.03129,0.0142
318807ce-d521-41f7-b9b2-e533deb7a178,llava,Canada,True,0.21554,0.18844,0.0271
acd68d0e-9d10-40ef-9fd1-cbdc720808ef,llava,Canada,True,0.95138,0.82232,0.12905
591a4da1-0a04-4dc6-ba4e-a3526dbce1c6,llava,Canada,True,0.30449,0.4425,-0.13802
bfa7333e-1ab0-4ebc-b11c-d7c0cc5a9e8c,llava,Canada,True,0.96989,0.9784,-0.00851
87161e09-edf6-46a7-acf4-1d2ba9f61348,llava,Canada,True,0.44567,0.2982,0.14747
31824d6c-cdda-43df-9792-17cb3f44217d,llava,Brazil,False,0.08605,0.04247,0.04357
7409a04b-e4e0-48a6-83aa-9ea94eeb78da,llava,Brazil,False,0.13103,0.16901,-0.03798
a2ccb005-d747-43f8-8315-2518a1ece07d,llava,Brazil,False,0.05548,0.05246,0.00303
bb027c12-2666-421b-a523-4bd7c4c30f20,llava,Brazil,False,0.06917,0.1173,-0.04813
4713f5b0-48da-4ab5-99bc-ffe12d7d62fa,llava,Nigeria,True,0.34677,0.34747,-0.00071
98b439d0-91bc-40ba-8d77-ec2889c96666,llava,Nigeria,True,0.73894,0.80274,-0.0638
4457fdf9-a623-41bd-8a0d-fd42128f38b3,llava,Nigeria,True,0.82948,0.62156,0.20792
2c1bd295-9cde-47af-af0e-202c03272d01,llava,Brazil,False,0.01034,0.00805,0.00229
da343301-2fc3-42b9-9d8e-7f90b000f00f,llava,Ethiopia,False,0.02631,0.06574,-0.03942
c717f3a6-7b14-4f61-b395-89d63b0c6e73,llava,Nigeria,True,0.44873,0.57482,-0.12609
