u_id,facet,true_country,score_A,score_B,score_C,score_D,score_E,score_F,score_G,score_H,label_primary,label_primary_key,score_primary,label_secondary,score_secondary,label_confident
1309b373-b885-4aa0-b6f8-7aab4b734ac2,clothing,China,0.001389,0.573587,0.036109,0.056415,0.009739,0.062837,0.001162,0.258761,B,B_clothing,0.573587,H,0.258761,True
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,traditions,China,0.001147,0.268139,0.005925,0.074881,0.006963,0.591065,0.000214,0.051666,F,F_ritual,0.591065,B,0.268139,True
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,traditions,China,0.003839,0.025909,0.03659,0.25259,0.09998,0.540006,0.001209,0.039877,F,F_ritual,0.540006,D,0.25259,True
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,traditions,China,0.012625,0.49097,0.067563,0.13774,0.058491,0.146031,0.000445,0.086137,B,B_clothing,0.49097,F,0.146031,True
1bad08e1-1e74-421f-996f-5c435cb367e3,traditions,China,0.039012,0.00135,0.083885,0.029572,0.002124,0.82297,0.015005,0.006082,F,F_ritual,0.82297,C,0.083885,True
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,traditions,China,0.000397,0.002135,0.001445,0.51162,0.003823,0.477921,3.9e-05,0.00262,D,D_food,0.51162,F,0.477921,False
07dabc78-3e60-46e1-b6e4-14c03b083f61,drink,China,0.207961,0.006679,0.025043,0.026504,0.125652,0.024445,0.171909,0.411805,H,H_appearance,0.411805,A,0.207961,False
e8417033-3d23-4eb3-b225-e8d68ff8cde3,drink,China,0.00093,0.000331,0.000926,0.971469,0.000896,0.007071,0.010457,0.00792,D,D_food,0.971469,G,0.010457,True
7469bf5a-e55b-4077-8c23-4f80be8daa32,drink,China,0.005557,0.00343,0.008705,0.852698,0.003761,0.014478,0.002074,0.109297,D,D_food,0.852698,H,0.109297,True
803df59c-07e6-4459-a5cb-8c2e27237461,drink,China,0.017419,0.023046,0.028769,0.371883,0.225154,0.129918,0.011225,0.192586,D,D_food,0.371883,E,0.225154,False
b2886064-331e-4c71-a625-d9d2c5cd9421,drink,China,0.004199,0.00178,0.003658,0.159736,0.024434,0.108578,0.164611,0.533005,H,H_appearance,0.533005,G,0.164611,True
f009866e-207b-4ed4-b0d2-150b69a5d0b0,food,China,0.00324,0.001045,0.980014,0.005383,0.000568,0.008741,0.000631,0.000378,C,C_architecture,0.980014,F,0.008741,True
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,food,China,0.00041,7.1e-05,0.000215,0.00101,0.997072,0.000306,6.3e-05,0.000855,E,E_script,0.997072,D,0.00101,True
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,food,China,0.000263,0.000909,0.001368,0.984139,0.00093,0.008033,0.001039,0.00332,D,D_food,0.984139,F,0.008033,True
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,food,China,0.548006,0.002006,0.035855,0.039767,0.055736,0.007575,0.267699,0.043356,A,A_national_symbols,0.548006,G,0.267699,True
a8f5c325-4cc4-4371-bd45-5d19156de028,food,China,0.001449,0.001401,0.026471,0.940822,0.007669,0.008425,0.001885,0.011879,D,D_food,0.940822,C,0.026471,True
