layer,align_A,align_B,align_C,align_D,align_E,align_F,align_G,align_H
1,0.0477,0.02471,0.0519,0.05157,0.07868,0.04701,0.04924,0.04373
2,0.04788,0.02503,0.05216,0.05169,0.07927,0.04738,0.04929,0.04416
3,0.04785,0.02524,0.05227,0.05187,0.07942,0.04737,0.04959,0.04426
4,0.04798,0.02473,0.05232,0.05136,0.07861,0.04674,0.04971,0.04325
5,0.04786,0.02427,0.05129,0.05009,0.07765,0.04544,0.0492,0.04283
6,0.04759,0.02431,0.04997,0.04892,0.07628,0.04483,0.04858,0.04215
7,0.04805,0.02522,0.04684,0.04639,0.07505,0.04238,0.04732,0.04041
8,0.04866,0.02396,0.04461,0.04402,0.07308,0.0376,0.04496,0.03854
9,0.04796,0.02595,0.04303,0.04208,0.07011,0.03633,0.04228,0.03721
10,0.04716,0.02457,0.04219,0.03996,0.06615,0.03211,0.04173,0.03694
11,0.05164,0.0282,0.04381,0.04383,0.06943,0.03175,0.04303,0.03941
12,0.04984,0.02775,0.04311,0.04225,0.06806,0.03015,0.0405,0.03497
13,0.0497,0.02576,0.04062,0.0408,0.06847,0.02986,0.04103,0.03489
14,0.04913,0.02359,0.04043,0.04277,0.06969,0.02867,0.03661,0.0328
15,0.04961,0.01961,0.03825,0.04065,0.0675,0.02639,0.03282,0.02884
16,0.05032,0.02149,0.0414,0.03945,0.06817,0.02601,0.0285,0.02867
17,0.04901,0.01819,0.03949,0.0389,0.07122,0.02198,0.02602,0.02396
18,0.04372,0.01667,0.04063,0.04132,0.07818,0.02264,0.02463,0.0249
19,0.03908,0.01251,0.04102,0.0365,0.08266,0.0212,0.02867,0.02514
20,0.03643,0.01217,0.04007,0.03446,0.07989,0.01987,0.03158,0.02443
21,0.03523,0.01181,0.03961,0.03386,0.07683,0.01955,0.03328,0.02155
22,0.03672,0.01624,0.04233,0.03309,0.07382,0.02108,0.03191,0.02277
23,0.03546,0.01833,0.04674,0.03348,0.07027,0.02091,0.03256,0.02369
24,0.03312,0.01818,0.04426,0.03653,0.06742,0.02376,0.03387,0.02296
25,0.03251,0.01621,0.04295,0.03613,0.06743,0.02428,0.03472,0.02045
26,0.03367,0.01458,0.0404,0.03369,0.06229,0.02092,0.0345,0.01939
27,0.03206,0.01299,0.03444,0.02886,0.05522,0.01928,0.031,0.01532
28,0.02296,0.00783,0.02485,0.02403,0.04677,0.01295,0.0191,0.01021
29,0.01484,0.00062,0.01586,0.01794,0.03817,0.00013,0.00986,0.00019
30,0.0226,0.0063,0.01624,0.02458,0.0361,0.00799,0.01568,0.00618
31,0.02661,0.01435,0.02091,0.02951,0.03584,0.0103,0.02518,0.0135
32,0.02516,0.02397,0.01717,0.01771,0.01887,0.00917,0.00955,0.00839
