boundary,layer_from,layer_to,cka_all,cka_shortcut,cka_nuanced
1,1,2,0.99995,0.99997,0.99996
2,2,3,0.99999,0.99999,0.99999
3,3,4,0.99998,0.99999,0.99999
4,4,5,0.99994,0.99995,0.99996
5,5,6,0.99985,0.9999,0.99986
6,6,7,0.99978,0.99984,0.99981
7,7,8,0.9994,0.99952,0.99943
8,8,9,0.99909,0.99921,0.99933
9,9,10,0.99891,0.99908,0.99907
10,10,11,0.99846,0.99863,0.99888
11,11,12,0.99137,0.99435,0.99269
12,12,13,0.99783,0.99776,0.99882
13,13,14,0.98113,0.98872,0.98144
14,14,15,0.99404,0.99633,0.99469
15,15,16,0.98899,0.99407,0.99014
16,16,17,0.99598,0.99744,0.99668
17,17,18,0.99766,0.99834,0.99847
18,18,19,0.99646,0.9974,0.99681
19,19,20,0.98556,0.99164,0.9874
20,20,21,0.99465,0.99639,0.99602
21,21,22,0.99665,0.99773,0.99713
22,22,23,0.99791,0.99839,0.99808
23,23,24,0.9972,0.9979,0.99793
24,24,25,0.99714,0.99804,0.99766
25,25,26,0.99761,0.99836,0.99835
26,26,27,0.99733,0.99788,0.99884
27,27,28,0.99746,0.99792,0.99839
28,28,29,0.99716,0.998,0.99814
29,29,30,0.99531,0.99602,0.99671
30,30,31,0.99602,0.99653,0.9978
31,31,32,0.9419,0.96798,0.96809
