rank,layer,head,flat_idx,mean_imp,imp_shortcut,imp_nuanced,delta_short_minus_nuan,intra_rho,inter_rho,head_type
1,1,31,30,8.838971,11.054908,9.373723,1.681185,0.6271,0.56369,culture-universal
2,1,2,1,7.321259,9.157396,7.404763,1.752633,0.6271,0.56369,culture-universal
3,1,28,27,7.160931,8.947556,7.275545,1.672011,0.6271,0.56369,culture-universal
4,1,18,17,7.143634,8.9162,7.305502,1.610697,0.6271,0.56369,culture-universal
5,1,12,11,7.12533,8.861939,7.206825,1.655115,0.6271,0.56369,culture-universal
6,1,29,28,7.089802,8.847049,7.245156,1.601892,,,
7,1,8,7,7.076349,8.814893,7.267016,1.547877,,,
8,1,7,6,7.049853,8.815818,7.170393,1.645424,,,
9,1,6,5,7.009894,8.728387,7.106768,1.621619,,,
10,1,17,16,6.940485,8.628063,7.086468,1.541595,,,
