layer,head,mean_importance,imp_shortcut,imp_nuanced
1,31,8.838971,11.054908,9.373723
1,2,7.321259,9.157396,7.404763
1,28,7.160931,8.947556,7.275545
1,18,7.143634,8.9162,7.305502
1,12,7.12533,8.861939,7.206825
1,29,7.089802,8.847049,7.245156
1,8,7.076349,8.814893,7.267016
1,7,7.049853,8.815818,7.170393
1,6,7.009894,8.728387,7.106768
1,17,6.940485,8.628063,7.086468
1,32,6.938905,8.672201,7.070404
1,1,6.917198,8.672908,6.971962
1,9,6.911539,8.621123,7.003461
1,16,6.905992,8.513569,7.02268
1,19,6.87159,8.533339,6.983171
1,26,6.860365,8.54183,7.001338
1,30,6.855389,8.527309,6.963926
1,24,6.846804,8.537056,6.962472
1,13,6.794159,8.48616,6.914768
1,11,6.781335,8.458268,6.875511
1,27,6.781206,8.46433,6.862085
1,23,6.77594,8.438427,6.872554
1,25,6.769507,8.446435,6.864195
1,10,6.757718,8.418366,6.884042
1,3,6.742635,8.35641,6.862444
1,21,6.733935,8.366585,6.820405
1,15,6.715383,8.347666,6.785801
1,4,6.679978,8.316933,6.762094
1,22,6.676433,8.39049,6.68559
1,5,6.610173,8.231044,6.700654
1,20,6.592458,8.237423,6.685498
1,14,6.501253,8.118696,6.605719
2,12,5.818161,7.222007,5.752117
2,2,5.734196,7.156329,5.64129
2,31,5.646136,6.99635,5.661024
2,19,5.635707,7.007119,5.604653
2,29,5.555067,6.919816,5.569685
2,16,5.545453,6.836198,5.578319
2,1,5.517376,6.929485,5.489788
2,30,5.511737,6.863421,5.520495
2,21,5.506875,6.839586,5.489025
2,9,5.503842,6.889187,5.487274
2,6,5.490201,6.837013,5.474967
2,28,5.482737,6.824233,5.48215
2,7,5.478838,6.854053,5.450808
2,27,5.472536,6.822213,5.466664
2,32,5.471447,6.866162,5.47369
2,5,5.46288,6.814759,5.430356
2,18,5.459422,6.809675,5.396014
2,23,5.448405,6.800066,5.415577
2,17,5.422067,6.760899,5.437367
2,13,5.416113,6.742468,5.410681
2,20,5.409249,6.762495,5.421465
2,22,5.408038,6.77652,5.346126
2,4,5.405303,6.730422,5.365175
2,24,5.39009,6.735712,5.357876
2,15,5.38609,6.738102,5.375286
2,11,5.381457,6.715865,5.350521
2,3,5.372654,6.682202,5.345036
2,26,5.370485,6.680655,5.366327
2,8,5.368649,6.693327,5.330997
2,10,5.357397,6.659641,5.365936
2,25,5.348422,6.684082,5.299098
2,14,5.299565,6.636763,5.235492
3,12,4.654142,5.754009,4.572337
3,2,4.585568,5.746904,4.492308
3,16,4.490542,5.546027,4.47438
3,31,4.4868,5.572298,4.460432
3,6,4.47425,5.572844,4.425027
3,13,4.472016,5.538921,4.446695
3,21,4.461688,5.550107,4.413379
3,1,4.456361,5.587434,4.411206
3,29,4.436962,5.558435,4.386879
3,17,4.432859,5.527818,4.420966
3,30,4.427533,5.513638,4.40664
3,23,4.418406,5.529596,4.357456
3,19,4.407668,5.496778,4.350752
3,4,4.406695,5.475811,4.374212
3,5,4.406634,5.498192,4.367987
3,9,4.3954,5.511429,4.381819
3,28,4.393119,5.461431,4.3675
3,32,4.392314,5.520128,4.361559
3,18,4.390354,5.489942,4.329218
3,7,4.389785,5.488571,4.344243
3,11,4.388298,5.493078,4.330966
3,20,4.383609,5.473624,4.372233
3,3,4.380116,5.464722,4.342431
3,8,4.369449,5.441463,4.302936
3,24,4.36845,5.46641,4.346763
3,27,4.360927,5.447233,4.331164
3,25,4.356235,5.433819,4.297441
3,15,4.338959,5.425242,4.297947
3,22,4.334928,5.421669,4.294181
3,14,4.324386,5.407601,4.251571
3,26,4.304867,5.360406,4.247893
3,10,4.287691,5.343389,4.262003
4,12,3.810107,4.733981,3.774341
4,2,3.732888,4.660019,3.686702
4,16,3.676153,4.532773,3.674444
4,6,3.650052,4.544916,3.630548
4,21,3.625564,4.513469,3.584967
4,13,3.624235,4.473186,3.631016
4,1,3.612575,4.473348,3.624658
4,30,3.607841,4.473538,3.581401
4,29,3.604363,4.503142,3.577768
4,5,3.603464,4.456657,3.587818
4,24,3.5936,4.461169,3.572917
4,31,3.591992,4.433282,3.58865
4,17,3.575245,4.439068,3.571235
4,32,3.569868,4.436165,3.554199
4,14,3.569767,4.434788,3.54389
4,4,3.568531,4.421339,3.569491
4,7,3.565274,4.430962,3.544607
4,23,3.565129,4.434138,3.529961
4,28,3.554911,4.411885,3.557347
4,25,3.549757,4.411312,3.51365
4,19,3.547787,4.419402,3.51576
4,27,3.546253,4.403825,3.553986
4,3,3.544935,4.404473,3.528944
4,18,3.533795,4.407269,3.494235
4,20,3.531002,4.370537,3.541039
4,26,3.509404,4.360008,3.488771
4,8,3.50787,4.335267,3.492549
4,9,3.502754,4.36705,3.471538
4,15,3.501327,4.341601,3.491351
4,11,3.497994,4.345915,3.460216
4,10,3.472715,4.284872,3.447813
4,22,3.454113,4.3023,3.434197
5,12,3.28375,4.077818,3.282353
5,2,3.179561,3.964181,3.151874
5,16,3.146692,3.882344,3.165872
5,21,3.114274,3.869142,3.094037
5,6,3.111626,3.858566,3.101005
5,31,3.09151,3.789047,3.117106
5,13,3.080699,3.788306,3.10045
5,32,3.072835,3.797191,3.103711
5,1,3.04684,3.775197,3.087547
5,17,3.040918,3.754923,3.050703
5,29,3.039323,3.79785,3.020664
5,25,3.036647,3.755007,3.043046
5,3,3.028584,3.746212,3.036243
5,24,3.027758,3.7395,3.049742
5,30,3.025743,3.732608,3.030263
5,19,3.025019,3.743003,3.022672
5,26,3.023288,3.7528,3.018444
5,7,3.023065,3.74412,3.031105
5,5,3.021796,3.739977,3.023213
5,23,3.021424,3.74136,3.01748
5,11,3.016362,3.752753,3.0077
5,27,3.012519,3.731759,3.033495
5,28,3.007442,3.704911,3.023729
5,15,2.998795,3.705305,3.00964
5,8,2.998009,3.680302,2.994127
