layer,mean_importance,mean_imp_shortcut,mean_imp_nuanced
1,6.930512,8.639649,7.050091
2,5.471144,6.821464,5.449727
3,4.411782,5.503718,4.369454
4,3.57504,4.438177,3.556876
5,3.040514,3.760958,3.045266
6,2.581335,3.183894,2.583005
7,2.311307,2.842233,2.314222
8,2.150967,2.648819,2.148638
9,2.03127,2.497376,2.040433
10,1.905507,2.320402,1.924273
11,1.775764,2.141508,1.799227
12,1.613768,1.946585,1.621787
13,1.496922,1.806162,1.494248
14,1.375288,1.659105,1.368231
15,1.226273,1.477145,1.215211
16,1.093054,1.320482,1.072047
17,0.982616,1.191027,0.963151
18,0.897071,1.095243,0.879747
19,0.801079,0.975959,0.794723
20,0.740443,0.904867,0.734299
21,0.697657,0.853466,0.692791
22,0.662061,0.812118,0.660303
23,0.633999,0.778241,0.632182
24,0.609526,0.749663,0.60815
25,0.573249,0.708182,0.571838
26,0.556275,0.685725,0.55701
27,0.53863,0.664238,0.539667
28,0.5144,0.637312,0.515984
29,0.484295,0.597871,0.485831
30,0.459147,0.56982,0.460433
31,0.425799,0.528597,0.424391
32,0.382564,0.472287,0.384475
