u_id,subset,true_country,p_clean,p_corrupted,degradation,vis_start,vis_end,recovery_L1,recovery_L2,recovery_L3,recovery_L4,recovery_L5,recovery_L6,recovery_L7,recovery_L8,recovery_L9,recovery_L10,recovery_L11,recovery_L12,recovery_L13,recovery_L14,recovery_L15,recovery_L16,recovery_L17,recovery_L18,recovery_L19,recovery_L20,recovery_L21,recovery_L22,recovery_L23,recovery_L24,recovery_L25,recovery_L26,recovery_L27,recovery_L28,recovery_L29,recovery_L30,recovery_L31,recovery_L32,peak_recovery_layer,peak_recovery_value,mean_recovery
1192021a-598b-48bb-be52-9f576e627384,shortcut,Rwanda,0.06868,0.04646,0.02222,5,2933,0.01876,0.01912,0.01683,0.01767,0.01852,0.02027,0.02071,0.02257,0.02601,0.02873,0.02907,0.0264,0.02558,0.02878,0.01927,0.01882,0.01078,0.0048,0.0054,0.00115,0.00103,-0.0004,0.0009,-0.00043,0.00251,0.00297,0.00341,0.00405,0.00433,-0.00085,0.00202,0.0,11,0.02907,0.01246
6b0be593-f193-48ee-bdd8-8f8cc3da741a,shortcut,Brazil,0.01776,0.01947,-0.00171,5,1469,-0.00235,-0.00216,-0.00226,-0.00219,-0.0013,-0.00082,-0.00122,-0.00021,-0.00035,0.00015,0.0001,0.00091,4e-05,0.00087,0.00057,0.00039,-0.00064,-0.00031,-0.00014,0.00084,0.00221,0.00188,0.00152,0.00167,0.00155,0.00094,0.00099,0.00032,9e-05,-0.00039,0.00053,0.0,21,0.00221,4e-05
f12dd800-7905-428c-9690-28747601a795,shortcut,Brazil,0.01776,0.01947,-0.00171,5,1469,-0.00235,-0.00216,-0.00226,-0.00219,-0.0013,-0.00082,-0.00122,-0.00021,-0.00035,0.00015,0.0001,0.00091,4e-05,0.00087,0.00057,0.00039,-0.00064,-0.00031,-0.00014,0.00084,0.00221,0.00188,0.00152,0.00167,0.00155,0.00094,0.00099,0.00032,9e-05,-0.00039,0.00053,0.0,21,0.00221,4e-05
2a57f463-0a45-4852-9a58-acbf91395812,shortcut,Rwanda,0.11596,0.06023,0.05572,5,1613,0.06348,0.06547,0.06888,0.0582,0.06673,0.0708,0.07666,0.06266,0.06367,0.06249,0.05646,0.068,0.05036,0.0504,0.04558,0.0522,0.03945,0.03916,0.02517,0.01133,0.01086,0.00865,0.00998,0.01172,0.00466,0.0043,0.00295,0.0047,0.00339,-0.00466,-0.0019,0.0,7,0.07666,0.03599
a2ebb579-6a95-4ef6-90d3-7472f9739d27,shortcut,Canada,0.07272,0.05386,0.01886,5,1181,0.01708,0.02081,0.0196,0.01905,0.01806,0.0191,0.01767,0.01247,0.01276,0.01543,0.02076,0.02313,0.01958,0.01749,0.01466,0.01216,0.01051,0.00899,0.00819,0.00446,4e-05,0.00186,0.00225,0.00235,-0.00074,0.00246,0.00111,0.00398,0.002,0.0006,0.00151,0.0,12,0.02313,0.01029
7d6f190c-4df7-4306-a1e9-b87ed1e3087c,shortcut,USA,0.00397,0.00595,-0.00198,5,2149,-0.00199,-0.00188,-0.00185,-0.00199,-0.00192,-0.00197,-0.00212,-0.00198,-0.00199,-0.00158,-0.00155,-0.00154,-0.00116,-0.00152,-0.00154,-0.00129,-0.00128,-0.00105,-0.00086,-0.00037,-0.00039,-0.0002,-0.00021,-0.00019,0.0002,1e-05,-1e-05,0.00019,4e-05,0.00011,0.00021,0.0,31,0.00021,-0.00099
4f04c1f6-a284-4219-9412-beacc222f51d,shortcut,Canada,0.20564,0.14719,0.05844,5,2345,0.0567,0.05661,0.05742,0.0563,0.05565,0.05441,0.04588,0.05328,0.05383,0.05255,0.05152,0.04225,0.03449,0.02535,0.01616,0.01482,0.01462,0.00524,0.00888,0.01423,0.00345,0.00352,0.00937,0.00343,0.00603,0.00713,0.01257,0.01339,0.01633,0.00815,0.00176,0.0,3,0.05742,0.02673
2ffd117c-1a33-4b7a-a359-c3bb9ad35cec,shortcut,Iran,0.09982,0.01105,0.08877,5,1469,0.0812,0.08099,0.08768,0.08851,0.08443,0.08129,0.08653,0.08377,0.10045,0.09428,0.10675,0.0973,0.0753,0.06172,0.0561,0.04916,0.04127,0.04843,0.03377,0.01775,0.01588,0.01615,0.01596,0.01711,0.00142,0.00157,0.00179,0.00144,0.00138,0.00052,0.00045,0.0,11,0.10675,0.04782
2b049977-6bfc-4a19-b59a-c9e2beffab94,shortcut,Turkey,0.01491,0.01141,0.0035,5,1757,0.00328,0.00375,0.0035,0.00371,0.00276,0.00301,0.00318,0.00342,0.00328,0.00427,0.00321,0.00171,0.00164,0.0011,0.0008,0.00044,-0.0007,-0.00044,-0.0013,-0.00089,-0.00108,-0.00114,-0.00064,-0.00064,-0.00025,-0.00026,0.001,0.00046,6e-05,0.00022,-2e-05,0.0,10,0.00427,0.00117
dc012abe-5e86-41c4-b740-a9e91a0fe240,shortcut,Nigeria,0.10993,0.06427,0.04565,5,1469,0.04591,0.0397,0.04014,0.0352,0.03996,0.03386,0.03887,0.04309,0.05059,0.03583,0.04974,0.03347,0.03127,0.02332,0.02789,0.02578,0.01884,0.01722,0.00528,0.00504,0.00845,0.00856,0.00766,0.00656,0.0032,0.00244,0.00412,0.00616,0.00323,-0.00297,0.00116,0.0,9,0.05059,0.02155
4efc5850-d150-471b-8188-4f35d3b63b48,shortcut,Turkey,0.01143,0.02027,-0.00884,5,2045,-0.00878,-0.00849,-0.00812,-0.00843,-0.00912,-0.00915,-0.00851,-0.00947,-0.01006,-0.00754,-0.00735,-0.00615,-0.00441,-0.00922,-0.00936,-0.00771,-0.00681,-0.00807,-0.00608,-0.00617,-0.00565,-0.00589,-0.00547,-0.00536,-0.00129,-0.00217,-0.00093,-0.00117,4e-05,-0.00095,-0.00118,0.0,29,4e-05,-0.00591
46718728-a72a-4651-a2dc-d9d39b32ab74,shortcut,USA,0.01929,0.01123,0.00806,5,2165,0.00836,0.00816,0.00794,0.00828,0.00835,0.008,0.00725,0.00826,0.00853,0.00595,0.00634,0.00419,0.0067,0.00773,0.00606,0.00417,0.00488,0.00578,0.00487,0.00356,0.00334,0.00312,0.00337,0.00333,0.00207,0.00196,0.00168,0.00172,0.00096,0.00044,5e-05,0.0,9,0.00853,0.00486
5473783d-ba57-45b2-8414-33eb26c36ccf,shortcut,USA,0.09029,0.04575,0.04454,5,2165,0.04797,0.0522,0.04833,0.05105,0.04227,0.0434,0.04432,0.04896,0.04906,0.05171,0.04779,0.04166,0.05247,0.04629,0.04265,0.0395,0.03519,0.0289,0.01786,0.00836,0.00278,0.00435,0.00599,0.00614,0.00163,0.00104,0.00232,0.00097,0.00086,0.00258,0.00164,0.0,13,0.05247,0.0272
3156bba1-7c6d-417e-8841-d6319dc7e3af,shortcut,India,0.11607,0.18616,-0.07009,5,2645,-0.07263,-0.06688,-0.06649,-0.06762,-0.06679,-0.06589,-0.06557,-0.05261,-0.05286,-0.05699,-0.05853,-0.05109,-0.04952,-0.05506,-0.04896,-0.03294,-0.02318,-0.02267,-0.0072,-0.02267,-0.02442,-0.02687,-0.02042,-0.02054,-0.01487,-0.01752,0.00119,-0.00029,-0.00264,0.00153,-0.00133,0.0,30,0.00153,-0.03539
449dd4e6-c146-4c46-a36f-506b0669f056,shortcut,Brazil,0.03673,0.03521,0.00152,5,1855,0.00121,0.00245,0.00227,0.00175,0.00117,0.00159,0.00281,0.00379,0.00208,0.00343,0.0029,0.00206,0.00337,0.00361,0.00358,0.00122,0.00277,0.00347,0.00416,0.00573,0.00679,0.0062,0.00577,0.00544,0.0035,0.0056,0.00548,0.00461,0.0028,0.00133,0.001,0.0,21,0.00679,0.00325
86ea271d-4352-4963-80a2-96b496b9ab50,shortcut,Rwanda,0.00677,0.00457,0.0022,5,2149,0.00197,0.00239,0.00239,0.00259,0.00195,0.00205,0.00163,0.00124,0.00125,0.00267,0.00167,0.00255,0.00013,-0.00024,-0.00113,-0.00099,-0.00052,-0.00029,0.00068,5e-05,-0.00033,-0.00064,-0.0003,-0.00063,0.00039,0.00014,0.00036,0.00017,0.0001,-0.00023,0.00017,0.0,10,0.00267,0.00066
ff57c370-a704-49a2-8662-f040dca197df,shortcut,USA,0.00662,0.00599,0.00063,5,1517,0.00032,0.00059,0.00046,0.00031,0.00068,0.00143,0.00223,0.00305,0.00301,0.0024,0.00227,0.00188,0.00143,0.00073,6e-05,0.00012,-8e-05,-0.00012,-0.00049,-0.00045,-0.00036,-0.00014,0.00026,0.00038,0.00021,0.00022,0.00039,0.00045,0.00043,1e-05,-0.00032,0.0,8,0.00305,0.00067
fd222649-bb5d-4bca-aedb-57a9bb3f9a4e,shortcut,Iran,0.06613,0.01605,0.05008,5,1373,0.05002,0.05028,0.04997,0.05101,0.05109,0.05005,0.04855,0.05362,0.05551,0.07186,0.07064,0.0793,0.05543,0.05013,0.04505,0.04004,0.02912,0.03087,0.02532,0.01582,0.01368,0.01375,0.01309,0.01318,0.00685,0.00643,0.00287,0.0021,0.003,0.0009,0.0002,0.0,12,0.0793,0.0328
ecd4f0c8-0bb6-4a35-ac36-66588d7d4185,shortcut,Nigeria,0.00262,0.00565,-0.00303,5,1469,-0.00311,-0.00306,-0.00315,-0.00312,-0.00331,-0.00334,-0.00336,-0.00307,-0.00319,-0.00347,-0.00354,-0.00353,-0.0028,-0.00262,-0.00265,-0.00254,-0.0022,-0.00215,-0.0019,-0.00143,-0.00141,-0.00126,-0.00134,-0.00127,-0.00094,-0.00092,-0.00086,-0.00067,-0.00051,5e-05,0.0001,0.0,31,0.0001,-0.00208
318807ce-d521-41f7-b9b2-e533deb7a178,shortcut,Canada,0.12036,0.07962,0.04074,5,2149,0.04063,0.04311,0.04981,0.04322,0.04297,0.03589,0.03423,0.03123,0.03368,0.02759,0.02876,0.0272,0.03303,0.03103,0.02892,0.01741,0.01744,0.01755,0.00806,0.00625,0.00309,0.00505,0.00206,0.00451,0.00288,0.00292,0.00387,0.00102,0.00188,0.0067,0.00413,0.0,3,0.04981,0.01988
843b1217-b7f6-4c73-9d38-0eac63bf6f28,shortcut,Rwanda,0.04113,0.03297,0.00816,5,2165,0.00691,0.00824,0.00629,0.00871,0.00874,0.00801,0.01148,0.00715,0.0075,0.01297,0.01725,0.01837,0.01137,0.00883,0.00892,0.0104,0.00829,0.00722,0.00689,0.00451,0.00228,0.00266,0.00226,0.0034,0.00174,0.00151,0.00283,0.00273,0.00331,0.00103,0.00102,0.0,12,0.01837,0.00665
