layer,acc_all,acc_shortcut,acc_nuanced
1,0.30447,0.34643,0.16071
2,0.30447,0.34643,0.16071
3,0.30825,0.34643,0.16071
4,0.30077,0.34643,0.16071
5,0.31202,0.34643,0.18571
6,0.31202,0.34643,0.18571
7,0.30832,0.34643,0.16071
8,0.30454,0.37143,0.18571
9,0.28938,0.36786,0.15714
10,0.28938,0.36786,0.21429
11,0.29315,0.31429,0.21429
12,0.2856,0.28929,0.21429
13,0.28197,0.31429,0.24286
14,0.28567,0.33929,0.24286
15,0.28945,0.31429,0.23929
16,0.29329,0.31429,0.21071
17,0.28581,0.33929,0.21071
18,0.28952,0.36429,0.18214
19,0.31223,0.28929,0.21071
20,0.34584,0.31786,0.15714
21,0.36841,0.31786,0.15714
22,0.38358,0.31786,0.18571
23,0.38351,0.31786,0.21429
24,0.37966,0.31786,0.24286
25,0.39839,0.31786,0.24286
26,0.38337,0.31786,0.24286
27,0.39469,0.31786,0.24286
28,0.37219,0.34643,0.21429
29,0.36094,0.34643,0.21429
30,0.37596,0.34643,0.29643
31,0.36848,0.31786,0.26786
32,0.34235,0.31786,0.23929
