u_id,true_country,facet,category_primary,category_name,category_score,label_confident,pred_country_orig,correct_orig,changed_k20,category_score
1192021a-598b-48bb-be52-9f576e627384,Rwanda,rituals,H,H_appearance,0.988627,True,Rwanda,True,True,0.988627
6b0be593-f193-48ee-bdd8-8f8cc3da741a,Brazil,clothing,H,H_appearance,0.95029,True,USA,False,True,0.95029
f12dd800-7905-428c-9690-28747601a795,Brazil,clothing,H,H_appearance,0.95029,True,USA,False,True,0.95029
2a57f463-0a45-4852-9a58-acbf91395812,Rwanda,clothing,H,H_appearance,0.944511,True,Rwanda,True,True,0.944511
a2ebb579-6a95-4ef6-90d3-7472f9739d27,Canada,traditions,H,H_appearance,0.889801,True,USA,False,True,0.889801
7d6f190c-4df7-4306-a1e9-b87ed1e3087c,USA,rituals,A,A_national_symbols,0.886297,True,USA,True,True,0.886297
4f04c1f6-a284-4219-9412-beacc222f51d,Canada,rituals,A,A_national_symbols,0.856681,True,Germany,False,True,0.856681
2ffd117c-1a33-4b7a-a359-c3bb9ad35cec,Iran,clothing,E,E_script,0.785356,True,Iran,True,True,0.785356
2b049977-6bfc-4a19-b59a-c9e2beffab94,Turkey,rituals,H,H_appearance,0.780363,True,USA,False,True,0.780363
dc012abe-5e86-41c4-b740-a9e91a0fe240,Nigeria,drink,H,H_appearance,0.723353,True,Rwanda,False,True,0.723353
4efc5850-d150-471b-8188-4f35d3b63b48,Turkey,clothing,E,E_script,0.705929,True,China,False,True,0.705929
46718728-a72a-4651-a2dc-d9d39b32ab74,USA,clothing,H,H_appearance,0.69683,True,USA,True,True,0.69683
5473783d-ba57-45b2-8414-33eb26c36ccf,USA,traditions,H,H_appearance,0.683984,True,USA,True,True,0.683984
3156bba1-7c6d-417e-8841-d6319dc7e3af,India,traditions,H,H_appearance,0.679976,True,Rwanda,False,True,0.679976
449dd4e6-c146-4c46-a36f-506b0669f056,Brazil,drink,H,H_appearance,0.672227,True,USA,False,True,0.672227
86ea271d-4352-4963-80a2-96b496b9ab50,Rwanda,rituals,H,H_appearance,0.62912,True,Rwanda,True,True,0.62912
ff57c370-a704-49a2-8662-f040dca197df,USA,rituals,H,H_appearance,0.624307,True,USA,True,True,0.624307
fd222649-bb5d-4bca-aedb-57a9bb3f9a4e,Iran,drink,H,H_appearance,0.607719,True,Germany,False,True,0.607719
ecd4f0c8-0bb6-4a35-ac36-66588d7d4185,Nigeria,food,H,H_appearance,0.57723,False,USA,False,True,0.57723
318807ce-d521-41f7-b9b2-e533deb7a178,Canada,clothing,H,H_appearance,0.574378,True,USA,False,True,0.574378
843b1217-b7f6-4c73-9d38-0eac63bf6f28,Rwanda,clothing,H,H_appearance,0.574181,True,USA,False,True,0.574181
9e192054-6b30-44b3-841f-785853bfe7e4,India,drink,H,H_appearance,0.569559,False,Canada,False,True,0.569559
b6a921ff-8d0c-41e1-8a6a-f9f1068693ee,Brazil,drink,H,H_appearance,0.557069,True,Brazil,True,True,0.557069
4436f0b0-f4fe-4383-911d-4640c75d9018,USA,rituals,H,H_appearance,0.549924,True,Ethiopia,False,True,0.549924
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,China,food,A,A_national_symbols,0.548006,True,China,True,True,0.548006
b2886064-331e-4c71-a625-d9d2c5cd9421,China,drink,H,H_appearance,0.533005,True,China,True,True,0.533005
1b080c55-9d6e-489f-95d6-8f03f713099b,Brazil,clothing,H,H_appearance,0.509988,True,Germany,False,True,0.509988
bb027c12-2666-421b-a523-4bd7c4c30f20,Nigeria,traditions,H,H_appearance,0.507357,True,Brazil,False,True,0.507357
0c5aee4c-d9fe-462e-8df1-ef7320c618cb,Turkey,clothing,H,H_appearance,0.506235,True,USA,False,True,0.506235
a952f9e8-5281-4661-950e-ffbf264a69f2,Rwanda,traditions,H,H_appearance,0.471005,True,Rwanda,True,True,0.471005
a6b53f36-7864-4876-a058-7e0be321388b,USA,traditions,H,H_appearance,0.462822,True,USA,True,True,0.462822
01a1d08a-e2a5-4a81-afb5-9831cddd3e88,Ethiopia,clothing,H,H_appearance,0.462689,False,China,False,True,0.462689
