u_id,model,rho_mean_vs_black,pval_mean_vs_black,rho_mean_vs_noise,pval_mean_vs_noise,rho_black_vs_noise,pval_black_vs_noise,mean_rho
1309b373-b885-4aa0-b6f8-7aab4b734ac2,clip,0.6843,0.0,0.2422,0.0936,0.1302,0.3725,0.3522
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,clip,0.2772,0.0538,0.4862,0.0004,0.1898,0.1915,0.3178
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,clip,0.6053,0.0,0.5696,0.0,0.7581,0.0,0.6443
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,clip,0.5984,0.0,0.2218,0.1255,0.4665,0.0007,0.4289
1bad08e1-1e74-421f-996f-5c435cb367e3,clip,0.776,0.0,0.7535,0.0,0.7036,0.0,0.7444
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,clip,0.5938,0.0,0.561,0.0,0.7219,0.0,0.6256
07dabc78-3e60-46e1-b6e4-14c03b083f61,clip,0.3959,0.0049,0.3157,0.0271,0.4803,0.0005,0.3973
e8417033-3d23-4eb3-b225-e8d68ff8cde3,clip,0.7659,0.0,0.3489,0.014,0.4761,0.0005,0.5303
7469bf5a-e55b-4077-8c23-4f80be8daa32,clip,0.6122,0.0,0.5189,0.0001,0.8169,0.0,0.6493
803df59c-07e6-4459-a5cb-8c2e27237461,clip,0.3279,0.0215,0.701,0.0,0.3466,0.0147,0.4585
b2886064-331e-4c71-a625-d9d2c5cd9421,clip,0.225,0.1201,-0.121,0.4075,0.1354,0.3536,0.0798
f009866e-207b-4ed4-b0d2-150b69a5d0b0,clip,0.4812,0.0005,0.6598,0.0,0.2058,0.156,0.4489
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,clip,0.4872,0.0004,0.3101,0.0301,0.1691,0.2455,0.3221
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,clip,0.0862,0.5558,0.3305,0.0204,0.1445,0.3219,0.1871
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,clip,0.6671,0.0,0.7039,0.0,0.5537,0.0,0.6416
a8f5c325-4cc4-4371-bd45-5d19156de028,clip,-0.0088,0.9523,-0.0512,0.7267,0.4698,0.0007,0.1366
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,clip,0.8306,0.0,0.7907,0.0,0.7197,0.0,0.7803
22bb7d28-bb29-4a85-af25-85f66ce70d52,clip,0.8649,0.0,0.6295,0.0,0.5949,0.0,0.6964
4c169dc1-0511-4867-803b-2c5724589072,clip,0.8032,0.0,-0.0187,0.8987,-0.0479,0.744,0.2455
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,clip,0.574,0.0,0.5447,0.0001,0.3058,0.0326,0.4748
aa454b8a-ea44-47d8-bfc5-8e0691affc18,clip,0.7112,0.0,0.2189,0.1307,-0.0396,0.7868,0.2968
c4ba628f-6ccc-4659-88e0-989cf36c6b66,clip,0.8126,0.0,0.7384,0.0,0.677,0.0,0.7427
c6e2a507-d64e-4f66-a017-8c4bec7a25aa,clip,0.7931,0.0,-0.2033,0.1613,-0.0594,0.6852,0.1768
48cb84ac-f6c8-41d5-a8bd-433790fd4228,clip,0.8402,0.0,0.7243,0.0,0.7066,0.0,0.757
af32828e-77c5-4c31-ad76-c68b4c3d2cfb,clip,0.633,0.0,0.2743,0.0565,0.265,0.0658,0.3908
96b37654-4373-4743-981d-ef25317c602a,clip,0.8554,0.0,0.6718,0.0,0.8168,0.0,0.7813
a2ebb579-6a95-4ef6-90d3-7472f9739d27,clip,0.7021,0.0,0.3503,0.0136,0.2901,0.0432,0.4475
734acb99-0962-4131-b4f7-725c20411db8,clip,0.7114,0.0,0.6903,0.0,0.5683,0.0,0.6567
a914a20e-7219-43e5-929a-a60eeb2b0eba,clip,0.5091,0.0002,0.0186,0.8992,0.4526,0.0011,0.3267
8869939b-17da-472e-8637-58d80e9291e7,clip,0.6802,0.0,0.6317,0.0,0.6329,0.0,0.6483
184d6c08-7237-4f6b-b49d-04b5b2bef635,clip,0.7979,0.0,0.885,0.0,0.7515,0.0,0.8114
8a4aa22a-5c51-425d-ad3d-69de43f88b0c,clip,0.8686,0.0,0.902,0.0,0.7722,0.0,0.8476
