u_id,facet,true_country,patch_rank,patch_row,patch_col,occlusion_score,label,label_key,label_score,score_A,score_B,score_C,score_D,score_E,score_F,score_G,score_H
1309b373-b885-4aa0-b6f8-7aab4b734ac2,clothing,China,1,2,2,0.083969,H,H_appearance,0.576503,0.044497,0.111281,0.028558,0.115536,0.087469,0.008123,0.028034,0.576503
1309b373-b885-4aa0-b6f8-7aab4b734ac2,clothing,China,2,0,2,0.012237,H,H_appearance,0.838991,0.011147,0.02464,0.02637,0.041157,0.034799,0.009089,0.013807,0.838991
1309b373-b885-4aa0-b6f8-7aab4b734ac2,clothing,China,3,1,1,0.011902,H,H_appearance,0.967987,0.000126,0.000557,0.004755,0.008326,0.016789,0.000869,0.000591,0.967987
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,traditions,China,1,0,6,0.489665,H,H_appearance,0.379618,0.072648,0.013,0.056589,0.081404,0.080292,0.014483,0.301966,0.379618
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,traditions,China,2,2,6,0.468621,H,H_appearance,0.66621,0.030325,0.018446,0.065248,0.066477,0.047135,0.017502,0.088657,0.66621
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,traditions,China,3,3,5,0.376614,H,H_appearance,0.376741,0.116745,0.017484,0.077887,0.145077,0.092566,0.021429,0.152071,0.376741
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,traditions,China,1,2,4,0.056532,H,H_appearance,0.551274,0.024713,0.016535,0.048681,0.152351,0.155576,0.014793,0.036077,0.551274
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,traditions,China,2,3,2,0.044007,F,F_ritual,0.32619,0.022847,0.09132,0.058899,0.281859,0.147417,0.32619,0.005447,0.066021
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,traditions,China,3,2,2,0.041498,F,F_ritual,0.292621,0.020661,0.058022,0.099342,0.269115,0.168293,0.292621,0.00424,0.087705
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,traditions,China,1,6,6,0.02231,H,H_appearance,0.308471,0.154757,0.038848,0.08385,0.096811,0.201868,0.026322,0.089074,0.308471
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,traditions,China,2,2,5,0.021242,E,E_script,0.340808,0.018757,0.003803,0.022296,0.272884,0.340808,0.028316,0.026538,0.286599
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,traditions,China,3,0,0,0.019075,E,E_script,0.281778,0.048029,0.044948,0.169507,0.173697,0.281778,0.031358,0.064543,0.18614
1bad08e1-1e74-421f-996f-5c435cb367e3,traditions,China,1,4,3,0.059853,E,E_script,0.256817,0.15969,0.008655,0.184282,0.181015,0.256817,0.032664,0.089105,0.087772
1bad08e1-1e74-421f-996f-5c435cb367e3,traditions,China,2,4,5,0.021023,G,G_landscape,0.492475,0.083209,0.001712,0.094799,0.099459,0.06459,0.062972,0.492475,0.100784
1bad08e1-1e74-421f-996f-5c435cb367e3,traditions,China,3,4,1,0.020541,G,G_landscape,0.349281,0.188881,0.000651,0.309359,0.034588,0.036599,0.039226,0.349281,0.041415
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,traditions,China,1,6,2,0.015737,H,H_appearance,0.281989,0.009396,0.060137,0.062407,0.276068,0.273189,0.027066,0.009748,0.281989
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,traditions,China,2,6,1,0.009577,D,D_food,0.507236,0.03082,0.051328,0.048693,0.507236,0.137572,0.083817,0.025647,0.114887
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,traditions,China,3,3,1,0.009033,D,D_food,0.653322,0.008536,0.002558,0.035171,0.653322,0.117731,0.018241,0.012149,0.152291
07dabc78-3e60-46e1-b6e4-14c03b083f61,drink,China,1,5,2,0.011935,H,H_appearance,0.465425,0.136945,0.005103,0.046053,0.089668,0.210747,0.004804,0.041255,0.465425
07dabc78-3e60-46e1-b6e4-14c03b083f61,drink,China,2,3,4,0.011196,H,H_appearance,0.349346,0.033069,0.010382,0.090694,0.162879,0.325016,0.006701,0.021912,0.349346
07dabc78-3e60-46e1-b6e4-14c03b083f61,drink,China,3,2,4,0.010283,H,H_appearance,0.382789,0.112,0.006777,0.048023,0.227114,0.059342,0.007321,0.156634,0.382789
e8417033-3d23-4eb3-b225-e8d68ff8cde3,drink,China,1,1,4,0.078739,G,G_landscape,0.496886,0.033684,0.005277,0.043136,0.164247,0.082822,0.013234,0.496886,0.160714
e8417033-3d23-4eb3-b225-e8d68ff8cde3,drink,China,2,3,3,0.05021,H,H_appearance,0.277981,0.053982,0.02587,0.08367,0.267796,0.199453,0.022505,0.068742,0.277981
e8417033-3d23-4eb3-b225-e8d68ff8cde3,drink,China,3,3,4,0.045464,D,D_food,0.861142,0.008259,0.004243,0.012032,0.861142,0.020812,0.019918,0.010357,0.063236
7469bf5a-e55b-4077-8c23-4f80be8daa32,drink,China,1,4,6,0.003187,H,H_appearance,0.379944,0.041983,0.022683,0.047437,0.213631,0.226955,0.021626,0.045741,0.379944
7469bf5a-e55b-4077-8c23-4f80be8daa32,drink,China,2,5,4,0.00307,E,E_script,0.317501,0.031913,0.01791,0.071709,0.194559,0.317501,0.081497,0.06271,0.2222
7469bf5a-e55b-4077-8c23-4f80be8daa32,drink,China,3,3,4,0.002999,H,H_appearance,0.385616,0.113968,0.012716,0.075518,0.296158,0.067713,0.020149,0.028162,0.385616
803df59c-07e6-4459-a5cb-8c2e27237461,drink,China,1,5,2,0.166426,E,E_script,0.491324,0.031476,0.039691,0.052134,0.277348,0.491324,0.042624,0.011104,0.054298
803df59c-07e6-4459-a5cb-8c2e27237461,drink,China,2,6,2,0.057765,D,D_food,0.575755,0.035904,0.009362,0.055822,0.575755,0.223219,0.024144,0.00566,0.070133
803df59c-07e6-4459-a5cb-8c2e27237461,drink,China,3,4,2,0.05576,E,E_script,0.766736,0.059677,0.001925,0.050589,0.058066,0.766736,0.004716,0.005565,0.052726
b2886064-331e-4c71-a625-d9d2c5cd9421,drink,China,1,1,2,0.002819,D,D_food,0.408923,0.020061,0.014839,0.050114,0.408923,0.045853,0.044661,0.201967,0.213581
b2886064-331e-4c71-a625-d9d2c5cd9421,drink,China,2,3,3,-0.005161,H,H_appearance,0.387217,0.018822,0.01323,0.03188,0.180795,0.170607,0.062292,0.135157,0.387217
b2886064-331e-4c71-a625-d9d2c5cd9421,drink,China,3,2,3,-0.006121,H,H_appearance,0.366159,0.023015,0.015399,0.036758,0.201344,0.083631,0.058825,0.214868,0.366159
f009866e-207b-4ed4-b0d2-150b69a5d0b0,food,China,1,2,5,0.148041,E,E_script,0.420428,0.244758,0.009713,0.220667,0.061742,0.420428,0.018712,0.005165,0.018815
f009866e-207b-4ed4-b0d2-150b69a5d0b0,food,China,2,4,3,0.074686,C,C_architecture,0.479598,0.034063,0.011335,0.479598,0.317443,0.110946,0.021132,0.005151,0.020331
f009866e-207b-4ed4-b0d2-150b69a5d0b0,food,China,3,4,4,0.063489,C,C_architecture,0.536941,0.026096,0.01585,0.536941,0.136316,0.137326,0.095355,0.006154,0.045962
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,food,China,1,3,3,0.191319,E,E_script,0.83626,0.006629,0.003613,0.012689,0.030031,0.83626,0.005253,0.003121,0.102404
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,food,China,2,3,4,0.133952,E,E_script,0.458376,0.059433,0.017815,0.046847,0.142104,0.458376,0.014993,0.02292,0.237513
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,food,China,3,3,2,0.12253,E,E_script,0.495893,0.03017,0.006132,0.04566,0.078937,0.495893,0.008483,0.013819,0.320907
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,food,China,1,3,1,0.03196,G,G_landscape,0.335135,0.013494,0.002396,0.065391,0.089549,0.291169,0.014494,0.335135,0.188372
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,food,China,2,3,3,0.014835,H,H_appearance,0.551417,0.034277,0.003148,0.05314,0.078023,0.097243,0.014369,0.168383,0.551417
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,food,China,3,2,3,0.013786,H,H_appearance,0.293368,0.039773,0.001924,0.05992,0.170722,0.20092,0.017548,0.215826,0.293368
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,food,China,1,3,2,0.043207,E,E_script,0.483227,0.09586,0.020621,0.059544,0.092549,0.483227,0.021529,0.051181,0.175488
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,food,China,2,1,5,0.041364,A,A_national_symbols,0.478834,0.478834,0.021481,0.014132,0.034052,0.196188,0.012726,0.017896,0.224691
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,food,China,3,0,0,0.039051,E,E_script,0.523359,0.021902,0.003645,0.034149,0.071498,0.523359,0.007787,0.020409,0.31725
a8f5c325-4cc4-4371-bd45-5d19156de028,food,China,1,2,4,0.022019,D,D_food,0.75936,0.027241,0.011577,0.032123,0.75936,0.08813,0.006619,0.013073,0.061877
a8f5c325-4cc4-4371-bd45-5d19156de028,food,China,2,3,4,0.008687,E,E_script,0.401168,0.059422,0.017076,0.025208,0.251876,0.401168,0.041461,0.036981,0.166807
a8f5c325-4cc4-4371-bd45-5d19156de028,food,China,3,2,3,0.007921,E,E_script,0.346841,0.10173,0.002368,0.037026,0.155538,0.346841,0.01659,0.058534,0.281373
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,rituals,China,1,0,4,0.009499,G,G_landscape,0.635816,0.043443,0.017572,0.032969,0.02211,0.046819,0.019153,0.635816,0.182117
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,rituals,China,2,0,3,0.007546,G,G_landscape,0.832301,0.02976,0.006997,0.042239,0.020411,0.006225,0.009727,0.832301,0.052339
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,rituals,China,3,6,3,0.006559,G,G_landscape,0.393427,0.1296,0.011255,0.047623,0.096368,0.065493,0.042126,0.393427,0.214107
22bb7d28-bb29-4a85-af25-85f66ce70d52,rituals,China,1,3,3,0.303126,E,E_script,0.396236,0.113991,0.070073,0.052404,0.104654,0.396236,0.034622,0.042408,0.185613
22bb7d28-bb29-4a85-af25-85f66ce70d52,rituals,China,2,4,4,0.20538,H,H_appearance,0.358929,0.221343,0.102485,0.063147,0.110701,0.073383,0.021933,0.048078,0.358929
22bb7d28-bb29-4a85-af25-85f66ce70d52,rituals,China,3,3,4,0.111112,A,A_national_symbols,0.347078,0.347078,0.097204,0.042788,0.237605,0.017552,0.035589,0.018895,0.20329
4c169dc1-0511-4867-803b-2c5724589072,rituals,China,1,1,1,0.047613,H,H_appearance,0.701783,0.036154,0.037564,0.036765,0.085807,0.029422,0.018489,0.054017,0.701783
4c169dc1-0511-4867-803b-2c5724589072,rituals,China,2,6,2,0.031743,D,D_food,0.562712,0.032927,0.013545,0.029718,0.562712,0.064801,0.016459,0.040694,0.239143
4c169dc1-0511-4867-803b-2c5724589072,rituals,China,3,6,3,0.030708,D,D_food,0.268344,0.105403,0.058401,0.078367,0.268344,0.081698,0.026598,0.143226,0.237963
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,rituals,China,1,4,4,0.104623,H,H_appearance,0.389116,0.042308,0.109769,0.057485,0.241692,0.093856,0.034464,0.03131,0.389116
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,rituals,China,2,3,4,0.072962,H,H_appearance,0.44846,0.008091,0.097549,0.049189,0.185137,0.107101,0.080532,0.023941,0.44846
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,rituals,China,3,5,2,0.055556,H,H_appearance,0.302073,0.081559,0.029508,0.089669,0.244009,0.179678,0.052415,0.021089,0.302073
aa454b8a-ea44-47d8-bfc5-8e0691affc18,rituals,China,1,6,5,0.017388,H,H_appearance,0.454443,0.031246,0.008563,0.036934,0.144146,0.200492,0.014432,0.109743,0.454443
aa454b8a-ea44-47d8-bfc5-8e0691affc18,rituals,China,2,4,4,0.012963,H,H_appearance,0.414555,0.043117,0.024921,0.080914,0.120146,0.212198,0.031314,0.072835,0.414555
