u_id,facet,true_country,patch_rank,patch_row,patch_col,occlusion_score,label,label_key,label_score,score_A,score_B,score_C,score_D,score_E,score_F,score_G,score_H
1309b373-b885-4aa0-b6f8-7aab4b734ac2,clothing,China,1,4,4,0.011664,H,H_appearance,0.552662,0.070831,0.039427,0.031348,0.125472,0.122325,0.011132,0.046802,0.552662
1309b373-b885-4aa0-b6f8-7aab4b734ac2,clothing,China,2,3,5,0.003959,H,H_appearance,0.776708,0.033235,0.036395,0.015515,0.068551,0.045132,0.008779,0.015685,0.776708
1309b373-b885-4aa0-b6f8-7aab4b734ac2,clothing,China,3,5,4,0.002746,H,H_appearance,0.418438,0.134222,0.057491,0.046183,0.159875,0.123425,0.015301,0.045064,0.418438
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,traditions,China,1,1,6,0.178995,H,H_appearance,0.529375,0.122133,0.013555,0.056173,0.080381,0.109726,0.023899,0.064759,0.529375
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,traditions,China,2,1,2,0.005507,H,H_appearance,0.63338,0.017553,0.011981,0.030512,0.096854,0.178488,0.015986,0.015246,0.63338
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,traditions,China,3,3,6,0.004878,H,H_appearance,0.687203,0.02695,0.00304,0.042462,0.069009,0.087044,0.006353,0.077939,0.687203
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,traditions,China,1,5,0,0.006901,B,B_clothing,0.264259,0.105642,0.264259,0.06186,0.250366,0.142715,0.07924,0.008641,0.087277
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,traditions,China,2,3,4,0.005083,H,H_appearance,0.63256,0.039147,0.008646,0.035014,0.093729,0.155817,0.005271,0.029816,0.63256
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,traditions,China,3,2,2,0.00506,F,F_ritual,0.292621,0.020661,0.058022,0.099342,0.269115,0.168293,0.292621,0.00424,0.087705
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,traditions,China,1,2,1,0.22227,D,D_food,0.708352,0.000753,0.113746,0.008384,0.708352,0.019667,0.116086,0.00099,0.032021
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,traditions,China,2,1,1,0.071148,H,H_appearance,0.516504,0.014702,0.205735,0.08477,0.091393,0.054878,0.01683,0.015187,0.516504
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,traditions,China,3,2,5,0.040039,E,E_script,0.340808,0.018757,0.003803,0.022296,0.272884,0.340808,0.028316,0.026538,0.286599
1bad08e1-1e74-421f-996f-5c435cb367e3,traditions,China,1,3,3,0.002452,C,C_architecture,0.382612,0.020897,0.005724,0.382612,0.24313,0.266507,0.033719,0.016807,0.030606
1bad08e1-1e74-421f-996f-5c435cb367e3,traditions,China,2,2,4,0.000579,H,H_appearance,0.277049,0.065623,0.020639,0.084057,0.177771,0.25445,0.04311,0.0773,0.277049
1bad08e1-1e74-421f-996f-5c435cb367e3,traditions,China,3,2,3,0.000538,E,E_script,0.385558,0.055985,0.011833,0.127365,0.145066,0.385558,0.043779,0.044482,0.185932
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,traditions,China,1,3,2,0.007705,E,E_script,0.603233,0.026707,0.04925,0.083551,0.079163,0.603233,0.021385,0.011292,0.125418
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,traditions,China,2,2,2,0.002112,E,E_script,0.506446,0.046929,0.061673,0.065974,0.145885,0.506446,0.033896,0.023655,0.115543
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,traditions,China,3,3,3,0.001572,E,E_script,0.504438,0.090214,0.007402,0.069131,0.183531,0.504438,0.018112,0.021487,0.105686
07dabc78-3e60-46e1-b6e4-14c03b083f61,drink,China,1,6,0,0.017435,H,H_appearance,0.347296,0.030584,0.010074,0.079275,0.206838,0.260488,0.006643,0.058803,0.347296
07dabc78-3e60-46e1-b6e4-14c03b083f61,drink,China,2,6,6,0.011063,H,H_appearance,0.326267,0.070705,0.037435,0.063429,0.132491,0.173363,0.021014,0.175296,0.326267
07dabc78-3e60-46e1-b6e4-14c03b083f61,drink,China,3,6,5,0.010378,H,H_appearance,0.582146,0.090952,0.010718,0.026894,0.095237,0.051091,0.005319,0.137643,0.582146
e8417033-3d23-4eb3-b225-e8d68ff8cde3,drink,China,1,2,3,0.129269,D,D_food,0.59891,0.007969,0.002562,0.029035,0.59891,0.159156,0.008725,0.043006,0.150636
e8417033-3d23-4eb3-b225-e8d68ff8cde3,drink,China,2,1,5,0.078559,D,D_food,0.618713,0.032761,0.113916,0.060346,0.618713,0.055167,0.026558,0.012144,0.080395
e8417033-3d23-4eb3-b225-e8d68ff8cde3,drink,China,3,3,3,0.073125,H,H_appearance,0.277981,0.053982,0.02587,0.08367,0.267796,0.199453,0.022505,0.068742,0.277981
7469bf5a-e55b-4077-8c23-4f80be8daa32,drink,China,1,2,3,0.290637,D,D_food,0.497195,0.011919,0.003333,0.070829,0.497195,0.127547,0.011738,0.00968,0.267759
7469bf5a-e55b-4077-8c23-4f80be8daa32,drink,China,2,2,4,0.262198,D,D_food,0.647086,0.032713,0.004305,0.043291,0.647086,0.048913,0.022443,0.018741,0.182508
7469bf5a-e55b-4077-8c23-4f80be8daa32,drink,China,3,3,3,0.227198,D,D_food,0.296254,0.097146,0.017969,0.058579,0.296254,0.262168,0.104197,0.018915,0.144773
803df59c-07e6-4459-a5cb-8c2e27237461,drink,China,1,11,5,0.003374,E,E_script,0.490908,0.037767,0.012023,0.090984,0.125534,0.490908,0.014268,0.009301,0.219214
803df59c-07e6-4459-a5cb-8c2e27237461,drink,China,2,10,5,0.003152,E,E_script,0.415085,0.080753,0.023099,0.05586,0.107467,0.415085,0.019137,0.026503,0.272097
803df59c-07e6-4459-a5cb-8c2e27237461,drink,China,3,8,0,0.003002,H,H_appearance,0.314278,0.109153,0.102684,0.067976,0.119255,0.176524,0.044453,0.065678,0.314278
b2886064-331e-4c71-a625-d9d2c5cd9421,drink,China,1,0,2,0.078504,D,D_food,0.694175,0.010148,0.001865,0.009305,0.694175,0.011266,0.009721,0.044695,0.218824
