u_id,facet,true_country,patch_rank,patch_row,patch_col,occlusion_score,label,label_key,label_score,score_A,score_B,score_C,score_D,score_E,score_F,score_G,score_H
1309b373-b885-4aa0-b6f8-7aab4b734ac2,clothing,China,1,6,6,0.0,H,H_appearance,0.44809,0.053412,0.018581,0.046248,0.178937,0.213414,0.015482,0.025837,0.44809
1309b373-b885-4aa0-b6f8-7aab4b734ac2,clothing,China,2,6,5,0.0,H,H_appearance,0.331363,0.119191,0.04758,0.058346,0.122384,0.251933,0.037113,0.032091,0.331363
1309b373-b885-4aa0-b6f8-7aab4b734ac2,clothing,China,3,6,4,0.0,H,H_appearance,0.460724,0.05455,0.014303,0.026941,0.082105,0.325961,0.014567,0.020849,0.460724
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,traditions,China,1,1,6,0.018685,H,H_appearance,0.529375,0.122133,0.013555,0.056173,0.080381,0.109726,0.023899,0.064759,0.529375
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,traditions,China,2,0,0,0.017982,G,G_landscape,0.257091,0.068633,0.018807,0.050143,0.122018,0.208481,0.034913,0.257091,0.239915
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,traditions,China,3,1,1,0.014671,H,H_appearance,0.698563,0.01815,0.005405,0.040441,0.093278,0.065732,0.006429,0.072002,0.698563
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,traditions,China,1,0,4,0.023531,H,H_appearance,0.449381,0.018402,0.00701,0.050867,0.159805,0.27521,0.008092,0.031233,0.449381
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,traditions,China,2,0,5,0.016128,H,H_appearance,0.462777,0.005616,0.005264,0.043654,0.181295,0.256275,0.014426,0.030693,0.462777
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,traditions,China,3,3,4,0.012525,H,H_appearance,0.63256,0.039147,0.008646,0.035014,0.093729,0.155817,0.005271,0.029816,0.63256
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,traditions,China,1,2,1,0.000866,D,D_food,0.708352,0.000753,0.113746,0.008384,0.708352,0.019667,0.116086,0.00099,0.032021
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,traditions,China,2,1,1,0.000219,H,H_appearance,0.516504,0.014702,0.205735,0.08477,0.091393,0.054878,0.01683,0.015187,0.516504
